ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
3            -29.399     0.22572      1.3497     0.12792     -12.329     0.49041     0.85579
4            -22.824     0.58044      1.3931     0.54352       -8.81     0.57436     0.90933
8            -13.771     0.22884      1.6085    0.045402     -5.2629      0.6687     0.56107
9            -4.6766     0.65154      1.7365     0.11574     -1.9043     0.82783     0.66652
20           -1.6453     0.63265     0.66615    0.052841    -0.54771     0.93043     0.26262
41              21.9     0.59927      1.0462     0.43365      5.8034      1.7181   -0.029912
58            -11.03     0.79512      1.2054     0.27449     -2.3921     0.83713     0.32618
75           -27.839     0.33709     0.81973  -0.0086473     -5.4709     0.45099     0.89748
80           -3.8591     0.11662     0.75672     0.03345     -1.1467     0.87821     0.66322
89           -1.0217     0.87732      2.1792     0.51855    -0.35481     0.97955     0.49721
92           -6.2194     0.50904      1.2063     0.11563     -2.0254     0.80591     0.18006
96           -17.999    -0.54363     0.52912    0.030749     -8.8145     0.48109     0.79112
97           -4.4349     0.72426     0.68986      0.2553     -1.1606      0.8615     0.28975
98            -3.393     0.81046     0.89311     0.20791    -0.88047     0.90099     0.22861
100          -42.448     0.73476      1.1119     0.47588     -9.1626     0.46323     0.48477
101          -10.493     0.85415     0.90662     0.38388     -3.2448      0.7527     0.31658
103          -5.5109     0.92798     0.79464      1.1003      -1.737     0.88758     0.21033
106          -159.94    0.027017     0.52015    0.097714     -35.584     0.36893     0.67493
107         -0.69377     0.69484     0.59749     0.39717    -0.15766     0.98242   -0.023355
108         -0.27914     0.74591     0.74407       0.133   -0.059321      0.9926     0.43301
112           2.3083      0.2388     0.57314    0.098296     0.67292      1.1007     0.26199
123          -2.7897     0.83536     0.53876   -0.023305    -0.89781     0.84327     0.39442
137          -3.3491     0.65911      1.1542     0.30954      -1.004     0.93151    -0.23422
153          -8.6762     0.74909     0.92155     0.19996     -2.0775     0.78586     0.31679
156           5.7167     0.25086     0.56139     0.14385       1.744      1.2589     0.12237
158           5.2752     0.58013      1.2608      1.0867      1.8683       1.079     0.56174
166          -30.074     0.68297     0.76988     0.14477     -2.5673     0.59891     0.45524
168          -80.257     0.71626      1.6754     0.18602     -21.579     0.25407      0.8588
176          -3.0282    0.052372     0.72085    0.027148     -1.2616     0.87255     0.22124
178          -29.768     0.63673      1.1805     0.22658     -7.0247     0.50562     0.52686
180          -10.742     0.58135      1.5435     0.12027     -3.9969     0.71105     0.39903
186           5.5039     0.86408      1.1256      1.2932      1.0397      1.0892     0.39294
188          -1.7147     0.72999     0.74922     0.31119    -0.27948     0.95546   -0.023829
191          -8.9845     0.55776      1.0561     0.23028      -2.561     0.73675     0.52804
195          -25.112     0.10727     0.68442   -0.024404     -2.5429     0.57085     0.47633
199         0.015676     0.81953      1.3627     0.08234    0.002911      1.0008     0.36879
204            13.59     0.53568      0.6311   -0.018958      2.8056      1.4338     0.44565
205          -60.109     0.34031      2.8347   -0.063035     -16.206     0.36105     0.84189
