ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
1             5.1036     0.20772      0.8082     0.25649      3.6821      1.3354     0.44987
8             13.069     0.25554     0.51334     0.34826      4.1053      1.8444     0.52895
24            21.777     0.16547     0.57851     0.36341      7.3338      2.0171      0.1667
51            24.085     0.18943      2.4217     0.19386      8.4027      1.6304     0.29242
53            38.006   -0.004272      1.2001      0.2357      12.151      2.1914     0.38272
54           -6.0213    -0.16856      2.5464     0.24093     -2.4289     0.86464     0.80859
60            3.3174    -0.37966      1.0095     0.36183      1.8239      1.1852     0.54088
64          -0.94737      0.2063      1.1487     0.29669    -0.79033     0.95308     0.13397
68           -2.5663    -0.20284      1.3757     0.26656     -2.0201      0.8348     0.60667
69             2.376   -0.093648     0.64507     0.32714      1.3536      1.1569     0.48098
70            7.5781   -0.052644      1.1118     0.32053       2.627      1.2668      0.2842
72           -14.041     0.56144      3.1834     0.52238     -6.1218     0.65076     0.71152
78             5.943     0.13411      0.6978     0.47871      5.4732      1.5088     0.48359
83            1.7111  -0.0051477     0.56243     0.25684      1.9382       1.217     0.24541
86            23.128     0.26698     0.89994     0.45177      7.3055      2.4967    -0.15859
95            20.534     0.21269      1.0416     0.83841      10.364      3.1148    -0.48021
132           21.513     0.36464     0.56238     0.41575      2.2448      1.4575      0.7007
