ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             14.718     0.44827     0.83385    0.077986      2.3717      1.2138   -0.066962
1            -4.9888     0.28722     0.71689     0.13599     -1.3992     0.92315     -0.1184
2            -6.6342     0.61149     0.85752     0.14157     -1.7614     0.87383     0.34716
3            -29.283     0.84487      1.2903     0.47526     -2.7859     0.87169      0.4092
5             8.5257     0.68898     0.51223      0.8438      2.1785      1.2012    -0.37223
8             6.2823     0.65102      5.3471      1.8645      1.1386      1.0726     0.45878
14           -11.776     0.67538      1.3523     0.27977     -3.3269     0.78106     0.24116
15            16.122     0.46159      1.1121     0.38279       3.715      1.3294    -0.34384
17           -1.4726     0.77276      2.7219      1.5309     -0.2683     0.97783   -0.043969
18            3.1477      0.8303      2.8435     0.75888     0.65475      1.0465    0.086535
20             25.09     0.67482     0.76228     0.24967      3.5588      1.4678   -0.025964
29            2.2744     0.65351      1.2503     0.35755     0.42233      1.0437    0.023631
43             8.781     0.44041     0.57508      0.0888      1.4382       1.218    -0.39063
51            6.5531      0.6743      1.9531     0.77777      1.2535      1.1251     0.38702
54            16.694     0.63036      2.4668      1.7875      3.2822      1.2511    0.039227
56            -8.728     0.89292      1.0317     0.38622    -0.85571     0.88782     0.21728
59            4.5194   -0.040238     0.86688    0.071378      0.9521      1.1045     0.31364
63           -11.044     0.92891     0.63372     0.24286     -1.0633     0.85473     0.31006
70            8.8034     0.66672      1.3733     0.13571      1.1984      1.1626     0.35941
71            8.3604     0.50284     0.96242     0.11046     0.99604      1.1816      0.3161
74            -7.959     0.88908      1.4088     0.58865    -0.76511     0.89571     0.33609
75           -12.622     0.51301      1.0826     0.29787     -1.9128     0.80683     0.14873
76            3.7032  -0.0041726     0.83103     0.11281     0.55682      1.0624     0.24219
83            -2.261     0.46171        1.69     0.03762    -0.33007     0.96094     0.31644
85            9.4984     0.37771      1.0602     0.18857      0.9074      1.1407     0.36003
90           -11.673     0.54533      1.8417     0.57509     -2.1161     0.81842   -0.050617
93            3.1609     0.94443      8.1627      2.2297     0.61371      1.0443     0.36802
95           -1.1514     0.92617      9.9895      1.7345    -0.23268     0.98561    0.086387
96            42.205    -0.10874      1.2715      8.1966      7.4334      1.7925     0.56673
97           -8.6216     0.76253     0.65289    0.071461    -0.92322      0.8855     0.19686
101           -1.359     0.61376      2.9801     0.24174     -0.1799     0.97722     0.37385
103          -7.3382  -0.0075803     0.52698  0.00057273     -1.2118     0.89505       0.471
104           -14.44     0.81364       5.476      2.1301      -2.155       0.824    0.090378
105           8.8419     0.25988     0.89336     0.20235       1.866      1.1681     0.19564
107          -2.0259     0.46948      1.7829     0.63574    -0.25009     0.97564   -0.043047
108          -8.1461     0.85904      3.0236     0.99181     -1.5132     0.88611     0.26978
111          -7.5304     0.81882      5.1669     0.73439     -1.4575     0.90492     0.35945
112            3.972     0.34908      2.1691     0.17064     0.66585      1.0865     0.68924
113          -23.698     0.72872     0.62496     0.12479     -2.9849     0.74789     0.19383
114           1.4061     0.46567      2.1832     0.25891     0.36934       1.031     0.25164
