ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             13.739      0.4936     0.98718     0.46165      3.6552      1.4641     0.20902
2             11.527     0.81208      2.2521     0.38855      4.1694      1.4727    -0.34704
7            -21.634     0.36703      5.3382     0.65892     -9.8174     0.73387    0.039248
8             8.4903     0.62324      1.7652     0.25072      1.2017      1.2195  -0.0039959
10            16.933     0.38948     0.69351     0.18576       3.836      1.4567   -0.061591
11            13.935     0.52844      1.4247  -0.0045949      3.9165      1.3687     0.19643
12           -77.719     0.74995      1.2302     0.17507     -15.522     0.32672     0.75022
15            14.293     0.54511       0.674    0.036236       4.347      2.0825     0.42759
34            56.528    0.028661     0.67168      1.8354      10.817      4.1985    -0.76607
56             28.13     0.60199     0.90057     0.11734      7.1807      3.7431   -0.061374
62            3.3338    0.074292     0.65259    0.095141     0.69749      1.0996      0.3227
67            7.0488     0.31271     0.87348    0.028032      2.1025      1.3301     0.11844
68            14.185     0.59278      1.5991     0.11247      2.6316       1.339     0.19558
69            12.946     0.44929     0.79766    0.055778      3.5862      1.6858     0.38983
72            -17.04     0.41994      1.4937    0.047676      -4.603     0.58303     0.52704
74           -5.2157      0.6584     0.51937     0.31444     -1.6036     0.83919     0.24057
75            4.8463      0.4738     0.73356    0.034384      1.7627      1.3858    0.063864
77           -5.7528     0.88686      1.0759     0.46536     -2.0335     0.84162     0.23397
81            17.292     0.56384       1.501     0.14978       5.386      1.1551      0.3367
102            11.42     0.71064     0.69965    0.053238      3.8881      1.9153    -0.15055
108          -20.035     0.56672     0.94448     0.16436     -4.7807     0.69248     0.46329
109           2.5088     0.66192      1.1046      0.1796     0.70575      1.1022    0.026137
118         -0.82413     0.76146      1.0334     0.01555    -0.20749     0.96959      0.4296
122           61.026     0.43235     0.81912     0.28219      10.876      3.6769    -0.48774
123           79.121     0.63775     0.61949     0.27653      12.536      6.6646     -1.0864
125          -16.245     0.80979      1.6795     0.75281      -4.545     0.70128      0.5835
130          -14.322     0.76987     0.73595     0.34035     -2.3047       0.806   -0.085712
132           6.1303     0.56876     0.81373    0.035494      2.5475      1.2658     0.16217
134          -26.043     0.66174        2.67     0.38917     -4.4528     0.48079     0.58829
136           10.043     0.70166     0.51911    0.086717      2.9381      2.1976      0.2059
138          0.15684     0.71236      1.3266     0.11962    0.046207      1.0078     0.24681
