ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
6           -0.67591      0.6863     0.93329      0.1131    -0.15555     0.98671     0.10084
15            -14.41     0.69027      1.1907     0.35314     -2.1931     0.71114     0.37647
31           -10.514     0.68303     0.67371    0.069271     -1.6354      0.7783    -0.15176
45           -1.2995     0.63304     0.60771   -0.062524    -0.28627     0.97354     0.51378
46            3.2759     0.36217     0.65956     0.38394     0.80439      1.0724     0.70919
60           -10.896     0.69926      1.0839    0.042452     -2.6384     0.77559     0.53257
61           -11.371     0.61023      1.1086      0.2011     -2.5354     0.76224     0.18884
65           -13.011      0.5849     0.51002     0.15035      -2.135      0.7635     0.25932
67           -7.3427     0.58219      1.0202     0.10833     -1.6664     0.86079     0.28757
73           -5.9718     0.50768     0.82424    0.017169     -1.1601     0.90102     0.36055
74           -6.8398     0.65694      1.0428     0.16238     -1.5025     0.82707     0.45029
76           -10.903     0.81422     0.79534     0.81008     -1.9454     0.77361     0.13774
79           -16.621     0.66017      1.1485     0.26586     -2.6486     0.69087     0.44204
80           -22.428     0.88677      1.3875     0.26377      -3.285     0.64179     0.57335
81           -12.622     0.75286     0.58665   -0.022921     -3.0057     0.72905     0.50575
84           -14.542     0.67039      1.1105     0.12849     -3.5166      0.7111     0.52604
85            -14.04     0.59307      0.7365      0.2345      -2.429     0.70211     0.69116
87           -5.9081     0.55368     0.74908     0.43018     -1.3277     0.83145     0.16276
88           -13.415     0.85828      1.8131     0.85826     -2.8655     0.72751     0.35415
91           -1.3915     0.91798      1.5176      1.2681    -0.31053     0.96423    0.071906
93           -11.158     0.39993      0.7452    0.039404      -2.755      0.7861     0.62682
95           -13.267     0.47929     0.55174     0.28933     -2.1948      0.8231     0.24064
96            -24.84     0.82239     0.98351     0.83396     -6.2029     0.62617     0.44392
98           -24.189     0.89374     0.78889     0.28632     -4.0541     0.67559      0.3258
101          -18.782     0.70805      1.4216     0.40795     -4.1853     0.60348     0.41445
103          -8.7442     0.77639     0.75828     0.19686      -2.271     0.81362     0.26391
104          -13.074     0.51543     0.58561   -0.036913     -3.6141     0.70421     0.56604
106          -5.2185     0.68402     0.72246     0.25215     -1.7274     0.84161    -0.24131
115           8.1595      0.9149      2.0552      1.0261      1.3788      1.1337     0.19902
116          -13.699     0.84648      0.7673     0.14229     -1.8153     0.72353      0.5377
117          -8.5378     0.81163     0.59798     0.18595     -1.6778     0.86813     0.31735
123          -24.414     0.75648       1.333     0.31508     -4.5382      0.6374     0.41725
131          -26.638     0.33577      0.5422    0.018784     -3.0104     0.56682     0.62513
133          -15.704     0.73403     0.86791     0.24663     -3.1396     0.71711     0.43745
135          -15.404     0.79757     0.75072      0.2785      -2.838     0.67541     0.54246
142          -22.382     0.86031      1.1498     0.10476     -4.6231      0.5851     0.35758
150          -26.701     0.53157     0.52671    0.032407     -3.8846     0.60177     0.29998
152          -2.2947     0.70684     0.64515     0.10079    -0.54753     0.94065      0.3582
155          -62.101     0.64359     0.76656     0.30905     -9.1984     0.34786     0.59251
158          -12.921     0.60387     0.53806     0.21828     -1.7948     0.76367     0.60687
160          -8.1156    -0.34443      1.8197     0.09893     -1.9471     0.84619     0.73195
163          -16.824     0.49262     0.52865     0.10095      -4.076     0.55531     0.10573
173          -14.492     -0.2785     0.85187    0.041872     -2.5747     0.71066     0.60005
175          -18.094   -0.039903     0.57346    0.061077     -4.6062     0.62287     0.66233
176          -32.884     0.55817     0.75988    0.014303     -5.7335     0.59719     0.67934
180          -19.419      0.2216       0.765    -0.02311      -3.474     0.60924     0.73629
191          -21.668   -0.021706      1.2011    0.040963     -3.6671      0.6302     0.69144
201          -35.781     0.74327      1.4163   -0.020099     -5.4743      0.5869     0.60537
205          -19.174     0.35487     0.85844    0.083922     -4.3645     0.60032     0.49484
207          -28.835     0.33588     0.88593    0.026031     -4.7061     0.58377     0.54528
209          -9.1076     0.39984      1.2208    -0.05924      -1.742     0.83697      0.5942
212          -15.388     0.69804     0.70344     0.68312     -3.2754     0.67879     0.10387
214          -28.433     0.37941     0.69614    0.050017     -3.4845     0.55816     0.61213
217           -31.46     0.55421      1.7902    0.081035     -5.7276     0.57065     0.63404
218          -21.873     0.35079      1.5807     0.26767     -6.8438     0.57798     0.49856
219          -16.091     0.23303     0.73288   -0.035817     -3.8449     0.58736      0.5438
