ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
2             11.527     0.81208      2.2521     0.38855      4.1694      1.4727    -0.34704
7            -21.634     0.36703      5.3382     0.65892     -9.8174     0.73387    0.039248
8             8.4903     0.62324      1.7652     0.25072      1.2017      1.2195  -0.0039959
11            13.935     0.52844      1.4247  -0.0045949      3.9165      1.3687     0.19643
12           -77.719     0.74995      1.2302     0.17507     -15.522     0.32672     0.75022
68            14.185     0.59278      1.5991     0.11247      2.6316       1.339     0.19558
72            -17.04     0.41994      1.4937    0.047676      -4.603     0.58303     0.52704
77           -5.7528     0.88686      1.0759     0.46536     -2.0335     0.84162     0.23397
81            17.292     0.56384       1.501     0.14978       5.386      1.1551      0.3367
109           2.5088     0.66192      1.1046      0.1796     0.70575      1.1022    0.026137
118         -0.82413     0.76146      1.0334     0.01555    -0.20749     0.96959      0.4296
125          -16.245     0.80979      1.6795     0.75281      -4.545     0.70128      0.5835
134          -26.043     0.66174        2.67     0.38917     -4.4528     0.48079     0.58829
138          0.15684     0.71236      1.3266     0.11962    0.046207      1.0078     0.24681
