ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
2            -1.6283     0.31206      1.7722    0.043548    -0.42879     0.96077     0.34446
7            -1.1687      0.5733      1.7605    0.021665    -0.71092     0.95452     0.44735
8              4.113    0.088139      2.0949      0.2115      2.1061      1.0702     0.62431
9               40.1     0.81111      1.0828     0.26841      6.5588      1.8291    -0.39535
34           -20.129     0.64632      9.3478     0.19005     -5.1942      0.7921      0.7454
60           -4.5289     0.20173      2.8695    0.049859     -1.3464     0.88638     0.68405
61           -15.127     0.30058      1.3509  -0.0071981     -1.8076     0.76547     0.44956
65            1.6329     0.22598      1.2199   -0.083931     0.58425      1.0893     0.20719
67           -14.371     0.77135      1.1161     0.33201     -3.1109     0.64838     0.37517
70           -9.8937     0.35856      1.2882     0.04596     -3.6854     0.71993     0.61555
72           -14.179     0.51088      3.0229     0.01985     -3.3838     0.78174     0.54618
73            22.954      0.4988      1.5702    0.063989      3.0869      1.3341     0.30559
81            34.227     0.44436      1.3842    0.021888      12.081      2.0002     0.18163
82            1.4928     0.38447      2.4537   0.0026763     0.68673      1.0559     0.43608
85          -0.92267     0.58262      1.0465     0.20513     -0.2035      0.9811     0.29671
86            12.368     0.33726      1.8144  -0.0052542      4.5944      1.4856     0.18351
102          -8.0768     0.13447       1.008   -0.060044     -3.0237     0.70114     0.57201
131          -88.186     0.93016      1.9154     0.48233      -18.05     0.31551     0.65654
141           -8.935     0.62502      3.3939    0.029999      -2.014     0.80719      0.7319
