ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
3            -4.2788     0.70652      1.1353     0.64232    -0.58248     0.89882     0.13824
5            -4.7321     0.80361      2.2423     0.42312    -0.57987     0.92872     0.47561
13           -17.545     0.63092      1.4222     0.39767     -3.1506      0.7256     0.28642
25            -4.482     0.74881      2.2526     0.46484    -0.74446     0.89621     0.31396
28           -11.563     0.63932      2.7001      0.5224     -2.3157     0.77463     0.37215
35           -10.871     0.73068      1.0162     0.33568     -1.9542     0.78157     0.28394
39            5.4711     0.85019      1.3213       0.357     0.61983      1.1042    0.028626
40           -16.797     0.76381      2.4033      1.7671     -2.7431     0.75376     0.41523
41           -6.1392     0.83837      2.2998      1.4538     -1.0407     0.91255     0.37436
43           -12.077      0.6971      1.5575     0.54253     -1.7858     0.79714     0.30338
44           -9.0855     0.57473      1.0714     0.38121     -1.5741     0.78414    -0.09715
46            -2.646     0.76916      1.1102     0.23401     -0.3711     0.93445   -0.014544
48           -4.6366     0.74441      1.5877     0.34919    -0.69347     0.91592     0.39762
52           -23.088     0.85668      1.9364     0.55252     -3.2959     0.66811       0.396
53           -11.225     0.86292      2.3344     0.55389     -2.1656     0.78639     0.48104
54           -14.276      0.7744      4.1248      1.0625       -2.55     0.74445     0.50774
56            -12.84     0.88378      1.8317      1.0086      -2.053     0.78905     0.26794
57           -5.5244     0.60989      2.3838     0.85123    -0.73107     0.90015     0.42619
58           -11.957     0.86918      2.4977      1.2053       -2.16     0.78958      0.4154
61           -15.477     0.82043      1.0009      0.9256     -2.4462     0.72537     0.10004
62            -7.602     0.67981      1.4111     0.42351     -1.1997     0.85345      0.1556
63           0.79898     0.78674      2.0903     0.31619    0.097397      1.0189     0.32805
66           -16.685      0.8874      2.5421     0.48923     -3.1555     0.72021     0.48707
67           -13.757      0.6546      1.4113     0.09202     -1.9047     0.74179     0.42853
68           -20.641     0.89799       2.013     0.87758     -3.9218     0.68057     0.26825
70           -13.969      0.9268      2.5027     0.67564      -1.952     0.79065     0.23327
71           -14.483     0.74334      1.0813     0.26594     -2.0383     0.75463     0.35979
72           -24.073     0.83248       1.519      0.2239     -2.5614     0.69093     0.23622
73           -20.027     0.75726      1.5243       0.468     -3.0555     0.66582    0.055075
74           -19.582       0.521      1.0267      0.1914     -3.0811      0.6511     0.33461
75            -11.16     0.61918       1.605     0.26657     -2.3039     0.76753     0.49842
76           -3.9374     0.93693      2.3035      1.0771    -0.51966     0.94703     0.29769
78           -15.628     0.86903      1.6631     0.19743     -2.9068      0.7148     0.20422
81            -30.01     0.69467      1.8986     0.40506     -4.5925     0.63294     0.12902
82           -16.358     0.93779      3.9591      1.3052     -1.9844     0.83112     0.20062
85            -12.23     0.70082      1.5266     0.33688     -1.7972     0.81282   -0.070876
86           -25.381     0.82636      1.9045      0.6775     -2.8031     0.68311     0.40705
89           -26.898     0.83734      1.9701     0.35215     -3.0586      0.6178     0.46697
92           -37.175     0.84511      1.1574     0.27168     -4.2144     0.67234     0.41456
95           -18.723     0.84161      2.3588     0.88646     -1.9625     0.83276      0.3132
97           -11.832     0.84654      3.5951     0.69538     -1.1784     0.83137     0.44196
98           -17.486     0.17929       1.162     0.25294      -3.207     0.64303     0.25593
101          -29.215      0.7021      3.6627      0.4758     -3.9202     0.65521     0.17891
106          -6.8168    0.037114      1.0123  -0.0094344     -1.3327     0.83472     0.19854
108           -33.98     0.20128      1.3674     0.32416      -4.587     0.55283     0.20605
111          -10.761     0.70555      3.4398    0.082392     -1.7182     0.79607     0.54085
112           -4.647      0.8412      1.3288     0.32052      -0.445     0.90857     0.16068
113          0.53674     0.62395      1.3166     0.39102    0.075361      1.0119    -0.30577
114          -24.175     0.50757      1.7964    0.085033     -3.3019     0.60615     0.59429
115          -21.852     0.82803      1.2531     0.12927     -2.0156     0.72503     0.52687
119           -6.909     0.63457      1.8196    0.036878       -1.21     0.84286     0.37801
121          -12.518     0.57772      1.5574     0.19825     -1.8076     0.78284     0.60867
124          -10.974     0.55937      1.2949      0.2924     -1.3331     0.69301     0.45434
135          -14.945     0.54878      1.3124    0.099312     -1.9317     0.78329     0.55834
147          -1.5802     0.75624      1.7015     0.27137    -0.22908     0.97424     0.46271
161          -9.7693     0.30982      1.2391     0.17427     -1.6186      0.7951    0.073477
164          -27.515     0.16788      1.8478      0.2614     -4.0197     0.59787      0.3701
