ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
29           -4.4865       0.684      1.0032   0.0076967     -1.1099     0.69364     0.57389
62           -9.0714     0.81904      1.6305     0.11659     -1.8182      0.6113     0.58191
67           -7.3008     0.62091      1.5438     0.14653     -1.5555     0.62943     0.55465
77           -2.4124     0.89513      1.8134     0.21328    -0.51689     0.82927     0.49346
79            -8.044     0.87798      1.9227     0.44491     -1.8646     0.64657     0.60763
80           -6.0006     0.79011      2.1531     0.26658     -1.5086     0.59758     0.78715
93            -11.87     0.85885      1.7517     0.18274     -2.4677     0.57559      0.5758
104          -11.661     0.80328      1.4319     0.20735     -1.6771     0.64429     0.45282
116          -21.622     0.81458      1.0344     0.18545     -3.2195      0.2964      0.6651
124          -15.739     0.86041      1.8702     0.32372     -3.3386      0.3592     0.65762
141          -14.342     0.88566      1.4298     0.46216     -3.0443     0.60239     0.51919
147          -11.812     0.63412      1.1144     0.21628     -2.2461     0.37433     0.67354
228          -28.126     0.56971      1.2456    -0.01065      -5.455     0.24373     0.76012
