ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
8             6.2823     0.65102      5.3471      1.8645      1.1386      1.0726     0.45878
17           -1.4726     0.77276      2.7219      1.5309     -0.2683     0.97783   -0.043969
18            3.1477      0.8303      2.8435     0.75888     0.65475      1.0465    0.086535
51            6.5531      0.6743      1.9531     0.77777      1.2535      1.1251     0.38702
54            16.694     0.63036      2.4668      1.7875      3.2822      1.2511    0.039227
83            -2.261     0.46171        1.69     0.03762    -0.33007     0.96094     0.31644
90           -11.673     0.54533      1.8417     0.57509     -2.1161     0.81842   -0.050617
93            3.1609     0.94443      8.1627      2.2297     0.61371      1.0443     0.36802
95           -1.1514     0.92617      9.9895      1.7345    -0.23268     0.98561    0.086387
101           -1.359     0.61376      2.9801     0.24174     -0.1799     0.97722     0.37385
104           -14.44     0.81364       5.476      2.1301      -2.155       0.824    0.090378
107          -2.0259     0.46948      1.7829     0.63574    -0.25009     0.97564   -0.043047
108          -8.1461     0.85904      3.0236     0.99181     -1.5132     0.88611     0.26978
111          -7.5304     0.81882      5.1669     0.73439     -1.4575     0.90492     0.35945
112            3.972     0.34908      2.1691     0.17064     0.66585      1.0865     0.68924
114           1.4061     0.46567      2.1832     0.25891     0.36934       1.031     0.25164
117          -25.439      0.8674      3.4625      2.2593     -3.9894     0.72939     0.39266
121           -17.93     0.73406      5.6589     0.68926     -2.5592     0.83288     0.19545
122          -2.0792     0.79999      3.0585     0.57407     -0.3763      0.9703      0.0796
126          -30.584       0.807      5.8534      1.9358     -3.4436     0.74105     0.14919
140          -6.6714     0.86529       2.059     0.64691     -1.2639     0.88994     0.11033
180           35.839     0.84849      1.7795     0.57368      3.3294      1.2635   -0.015778
181          -129.25     0.92724      2.9109      0.3253     -14.214     0.42115     0.65783
185          -2.5893     0.63635      3.8326     0.39456     -0.2237     0.97145     0.29835
187          -142.18     0.71943       3.388     0.66222     -13.385      0.5339     0.72772
196          -36.934     0.82666      2.1969     0.68454     -3.9102     0.71828     0.31076
201          -10.646     0.78972      3.5498     0.85247     -1.4614     0.86529     0.25691
209          -24.385     0.48043      1.6793     0.53602     -3.5928      0.6473     0.32126
220          -70.583     0.74863      5.0086     0.14678     -12.217     0.47354     0.56231
222          -75.232      0.8993      3.3503     0.18243      -15.66     0.38669     0.56419
224           -45.05     0.48819       2.066     0.20856     -6.7982     0.55516     0.32114
