ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
6            -6.6144     0.84985      1.7795    0.095433     -1.3094      0.9089     0.31498
16            10.012     0.83858      1.6627     0.17746      2.2317      1.2171  -0.0053717
30           -2.8204     0.86079      2.3608     0.32065     -0.6062      0.9522     0.22593
32           -4.0776     0.85628      1.5307     0.35727    -0.94409     0.94044     -0.0155
36            8.0021       0.508      1.7102    0.071595      1.6203       1.145     0.12159
38            4.1575     0.72643      1.6775     0.14964     0.88612      1.0701    -0.06974
53           -7.1199     0.92096      2.7541     0.63965     -1.4275     0.90693     0.23368
55           0.37193     0.81364      1.6866     0.38179    0.084916      1.0062    0.011768
58           -3.4124     0.92765      1.9839     0.39497    -0.81197     0.93832    0.094394
66           -11.258      0.8629      1.7901     0.19255     -2.1962     0.86334     0.22146
73           -2.0639     0.85265      2.0558     0.13249    -0.34533     0.97272     0.35156
79           -10.396     0.90715      2.8346      0.5082     -1.7228     0.88589     0.11361
83           -5.3933     0.95162      1.8431     0.25531    -0.85537     0.93898       0.152
87           -6.4986     0.90252      2.6284     0.13624      -1.183     0.92207     0.32573
91           -3.2803     0.86616      1.8708     0.25917    -0.49549     0.95808     0.09092
132          -17.145    0.072075      1.7465  -0.0026833     -2.9425     0.78083     0.47964
137          -26.435     0.38077      2.3627    0.063766      -5.114     0.71001     0.21758
138           -22.54     0.40776       1.631    0.048939      -3.839     0.74556     0.08929
143           -12.44     0.28668      1.6511     0.16659     -1.9845     0.84503     0.29345
144          -22.415      0.5777      2.7415     0.34872     -4.6268     0.73228     0.47309
146          -20.341     0.23656      1.7958    0.062861     -2.9452     0.73645     0.53038
