ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0            -7.3666     0.35577      2.1493     0.23984     -3.4043      0.8208      0.6757
1           -0.25851     0.68494      2.7564     0.27477    -0.12059     0.99255     0.10141
8            -4.1264      0.2893      2.0932     0.27597     -1.9907     0.90662     0.59192
56           -1.6854     0.80576      6.3544     0.68721    -0.50454     0.94388     0.15907
60           -1.3281     0.74158      1.9306     0.15287    -0.59933     0.95271     0.14515
61            -3.618     0.90426      2.5115     0.59846     -1.2787     0.91186     0.20591
73           -9.1413     0.85202      3.7724      0.4373     -4.7233      0.7455     0.37457
75           -10.904     0.91399      2.3723     0.38719     -4.2093     0.76797     0.34752
78           -4.6901      0.7395      1.5621   -0.055889      -1.944     0.86686     0.44066
79            1.7766     0.75384      1.7933   0.0022553     0.88942      1.0826     0.44891
80           -5.8782     0.88939      2.7193     0.38132     -2.3364     0.83372     0.33507
86            5.1409     0.88189      1.6942    0.079471      1.4157      1.1416     0.57234
90           -20.652     0.75994      1.5953     0.38564     -7.4235     0.55345      0.7266
107          -4.9729     0.55839      1.7349    0.011532     -2.4575     0.78298     0.42013
131          -7.5572     0.69036      2.0096      0.2699     -3.8347     0.74286    0.047883
139          -12.651     0.50656      1.8923     0.11301     -3.0693      0.7631     0.20313
149          -12.299     0.63876      2.2815     0.59307     -2.7173     0.76053     0.24067
150          -7.1917     0.28634      1.6018   0.0086197     -3.1361     0.77649     0.30411
154          -9.9386      0.4583      2.7187     0.18612     -3.6544     0.79814     0.48136
156          -13.396     0.64132      2.0428     0.30676      -4.919     0.69456     0.26699
159          -6.6165     0.49545      1.6948     0.68725     -1.4876      0.8414    0.093939
161          -16.187     0.66673      3.6848     0.26431     -6.0003     0.65546     0.42369
163          -5.2061     0.74737      3.3814     0.36211     -1.6932     0.87929     0.25117
165        -0.034425     0.39705      1.8099     0.21565    -0.01671     0.99818     0.11796
166          -38.746      0.9248      12.186     0.95799     -13.118     0.56027     0.46947
172          -8.4579     0.62712      3.3161     0.28124     -2.3792     0.79477      0.3135
177          -2.2924     0.75331      2.2281     0.28928    -0.89851     0.89673     0.38586
