ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             -35.36    -0.50072     0.41155    0.079981     -4.6969     0.57127     0.87482
1            -11.873     0.34981  -0.0079591    -0.11513     -2.2207     0.72257     0.10807
2            -5.7188    0.015583     0.36529    0.059818     -1.0289     0.85275      0.1159
4            -8.1758     0.48652     0.81581     0.51768     -1.3434     0.84257     0.11821
6             2.4776     0.87946     0.62044     0.18289     0.30035      1.0459     0.34929
7            -11.054      0.1204    0.062385   0.0023376     -2.4641     0.78273   -0.040832
8            -4.8798     0.15036     0.64229     0.94313     -0.7542     0.91081     0.38782
9            -19.084     0.41993   -0.058689   -0.044694     -2.9666     0.70415    -0.36797
10           0.66873    -0.55705    -0.12282    -0.12199    0.081694      1.0157    0.024278
11            1.1636   0.0070577    0.099918     0.16754     0.15746       1.027    -0.17355
12           -9.6597     0.69229     0.32465     0.41527     -1.6245     0.81163    0.094287
14          -0.63689     0.49866     0.73587     0.30673   -0.074042     0.98637    -0.17315
15            1.1168     0.40027     0.37634   0.0030123     0.13599      1.0243     0.16549
16           -15.778    -0.15892     0.18411    0.090747     -2.6028     0.69013     0.42445
17            34.877   -0.083032   -0.038162   -0.082203      4.2763     -12.264    -0.48346
18            3.2226     0.44428    0.050689     0.16022     0.60003       1.089    -0.22607
19           -5.1603     0.24904     0.59405     0.30852    -0.68952     0.87456    0.017208
20           -13.237     0.27294     0.43984     0.28842     -2.4102     0.73234   -0.047142
21           -4.8208    0.072863     0.41363    0.064026    -0.80244     0.89674     0.16198
22             10.25     0.26443    0.050252   -0.056408      1.1796      1.5656     0.49125
23           -15.208     0.18237    0.040617    0.094389     -1.7845     0.70618    -0.15542
24            -11.76      0.4843     0.77204     0.55246     -2.1587     0.79194     0.26086
26           -6.4333      0.3935     0.69829   -0.065631    -0.95394     0.86499     0.20045
27           -6.5051    0.050477  -0.0041514      0.1305    -0.65378     0.86164     0.60165
29           -10.748     0.71489     0.91294     0.42723     -1.6586     0.82909    0.034943
30           -3.2251     0.58902     0.89823     0.13886    -0.39838      0.9303     0.11353
31           -1.6938      0.6844     0.69242     0.20736    -0.21802     0.96388     0.24224
32            9.6609    0.079383     0.11514     0.16369      1.2868      1.3783     0.40018
33           -10.641     0.12626     0.48187     0.13503     -1.7083     0.76444     0.24302
34           -5.4962     0.47581     0.64015   -0.010657    -0.75211     0.90423   -0.010796
36           -12.734     0.50789     0.11542   -0.031476     -1.7128     0.78233  -0.0033818
37           -7.4406    -0.24517     0.31904     0.17016     -1.0929     0.78061    0.087756
38           -6.2419     0.51133     0.85635     0.51914     -1.3179     0.86449     0.49538
42          -0.68089     0.45095     0.15832    0.019128   -0.083733     0.97897     0.25754
45           -6.5424     0.59995     0.53269     0.34637     -0.9485     0.81573    -0.22565
47           -24.387    0.061003     0.45813   -0.075541     -2.5056     0.66427     0.31244
49           -20.112     0.50693     0.29596     0.05003     -1.7074      0.6982     0.42146
50           -14.458     0.67564     0.74282     0.36429     -2.0092     0.76215     0.19796
51            24.464     0.46612    0.035329   0.0050524      2.6271     -1.1692     0.40444
55           -5.7683     0.52828     0.86319     0.30264     -0.7014     0.89946     0.26443
59           -13.998     0.63141      0.9405     0.36559     -2.1994     0.74059     0.30915
60           -6.4764     0.73516     0.82084   0.0073991    -0.96857     0.88519     0.28856
64           -23.309     0.66654     0.52411  -0.0075174     -2.8425     0.68893     0.45284
65           -27.825      0.7495      0.9417     0.38243     -3.5824      0.6271     0.11844
69            -10.93     0.63634     0.94336     0.30101     -1.3568     0.77875     0.29956
