ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             152.89     0.30143   -0.050188   -0.065296      29.849     -7.6306    -0.97527
1             81.053    -0.21736     0.06692   0.0075236       35.31     -30.083     -5.3366
2              33.97     0.26204     0.16346  -0.0031277      17.378      2.9797    -0.67804
3             38.365    -0.10571    0.032724   0.0096337      23.864      3.8986     -2.7633
5             96.688    0.035202   -0.036093   -0.051972      49.888     -30.532     -2.4496
7             64.512    -0.58447     0.50178    0.031041      37.592      7.6072   -0.091111
10            24.554     0.30808     0.15692   0.0079626      18.924       8.312    -0.63029
11            16.089     0.13585    0.093946    -0.01434      9.3544      2.0041     -0.3884
12           -10.983    0.082148      0.6295   -0.054345     -8.0613     0.65294       0.732
13            19.417    -0.18612     0.19314     0.56524      10.598      1.8314     0.18162
14            15.108     0.41025     0.19603    0.052799      14.521      2.2161     -1.1471
15           -22.463     0.26888     0.13358   -0.088225     -2.0741     0.61255     0.58206
16            33.978   -0.081475     0.58438     0.16259      23.834      2.9722     -1.6686
17            8.4506       0.157   0.0053238     0.10038      5.0641      1.3109    -0.82135
18         -0.065367    -0.31607    0.038479   -0.036934   -0.040718     0.99731    -0.30329
19            102.49     0.52716     0.48801    0.012268      36.888      72.836    -0.53661
20            -22.18    0.049335     0.42687    0.028358     -5.2888     0.60867     0.39523
21            34.308    -0.00455     0.13996    0.019014      25.091      4.7821     -2.5975
22            57.575      0.5514   -0.096647   -0.011977      16.501      6.4722     -2.8112
23             9.351     0.33204   -0.063643   -0.055486      7.6396      1.5068    -0.65903
24            18.944    -0.15146     0.22403     0.17091       9.634      1.7867    -0.62229
25           -5.3532    -0.20371     0.03055   0.0037003     -2.1993     0.75685     0.32212
26            116.48     0.55858    -0.12601   -0.015362      26.862     -3.0779     -60.031
27            12.772    -0.14112   -0.019555   -0.028694      4.3715      2.4294     -0.5513
29            96.986     0.16501     0.38033     0.67508      68.577       15.31     -2.8052
30           -20.912    -0.36075  -0.0008006  -0.0063662     -4.4819     0.35107      1.0564
31            10.387     0.34912     0.21292   -0.025276      7.1563      2.0666      -0.191
32            16.577      0.2232    0.041065    0.088447      12.013      2.4756    -0.75948
33            145.21     0.34173     0.29428      1.0173      66.993     -166.94     -21.926
34           -19.043   -0.034725    0.036557   -0.027672     -7.3548     0.53147     0.49419
35            6.9024     0.19274     0.29169     0.14772      4.7199      1.2723     -0.4372
36           -15.606    0.035562     -0.0584   -0.019399     -2.2321     0.66744     0.12054
37            14.414     -0.3172   -0.068391    -0.12311      4.1356       2.565    -0.32769
38            58.643     0.13726     0.97399     0.14186      15.329      3.7344    -0.97698
39            7.2894    -0.13355    0.072651     0.07251      3.8843      2.0184    -0.24488
40            24.645     0.56642     0.13516     0.10273      3.2432      1.9156    -0.21664
41            0.4404      0.2491    0.022704     0.16534     0.18191      1.0159    -0.43508
42            6.5686    0.010516   -0.017671     0.21406      2.4027      1.4348    -0.95787
43           0.81031     0.36122    -0.06651     0.10864     0.67531      1.0458    -0.70054
44            14.515    -0.51931     0.17487     0.15461      3.9577      1.7641     0.18779
45             2.481    -0.39557     0.07078    0.071188      1.1423       1.095     0.12256
46            -11.99    -0.19748    0.017789  -0.0080513     -8.0378     0.53026     0.66994
47            9.1562     0.13635    0.076506     0.20564      5.0949      1.8207    -0.81859
48            14.977     0.04661     0.13093     0.10232      9.7533      2.0297    -0.51888
49         -0.084202     0.12026    0.030303   -0.035864   -0.035975     0.99716    0.053826
50            26.932     0.14884     0.30254    0.043611      10.961      3.5197    -0.47534
51            4.9922    -0.26179  -0.0047402    0.016766      5.8373      1.4725     0.30783
52            70.098     0.88328     0.61537     0.76416      24.231      2.3604    -0.61225
54           -7.3928     0.34467   -0.013503   -0.023143     -2.6036     0.74164     0.52307
55            10.546     0.34569     0.12207   -0.022865      5.3051      1.8954    -0.28237
56            16.888     0.21675      0.3323   -0.053896      6.9559      2.2283   -0.028285
57            9.8456     0.20039    0.043887     0.16259      8.4123      1.8057     0.12144
59             5.457     0.32067    0.058875   -0.045199      1.4054      1.2331   -0.028456
60            11.537   -0.016889     0.36223    0.046121       5.973      1.3939    -0.36634
61            7.3258    -0.26355     0.11951    -0.05905      1.6838      1.8607   -0.075021
62           -7.4247     -0.1154  -0.0005387   0.0061283     -4.2466     0.68805     0.11411
63           -23.818   -0.038565   -0.072645    -0.11351     -4.8643     0.58425     0.25329
64            12.591     0.37174   -0.035872     0.10074      14.906      -162.7     -1.3146
65            14.919    0.030795       0.413   0.0020528      10.381      1.8536    -0.96255
66            33.339  -0.0048078     0.28862    -0.11935      7.5905      2.6023     0.32701
68          -0.49076     0.16214     0.21046    0.039884    -0.28878     0.97909    0.055295
71             14.32     0.27551     0.56468   0.0078892      8.1552      1.6957      0.4085
75            53.498     0.41908   -0.051958   -0.088151      7.8969     -94.466    -0.22961
77            18.685    -0.11597     0.26488     0.25696      4.9345      2.3285   -0.049797
78             1.065    -0.16404     0.10725     0.01488     0.49344      1.0617     0.56053
79           -3.4668    0.055045     0.30679     0.04577     -1.5031     0.89852   -0.092694
80           -6.1881    0.022476     0.12847    -0.12058    -0.94458     0.84916     0.51914
81            20.372    -0.11254     0.20019    0.089449      11.312       2.062    -0.48333
83             14.92    -0.25418     0.92905   -0.044284      8.1018      2.2222     0.31565
84            17.396    -0.20667     0.33216     0.49329      8.4517       1.744    -0.91619
86            32.803     0.32347     0.73213   -0.040971      18.562       2.822     0.30317
87           -4.5755    -0.23967     0.81731    0.049978     -2.0083     0.89682     0.49341
90            6.6768    -0.18379     0.29434     0.16045      4.0912      1.8604    -0.68638
91            19.139    -0.20949     0.60794    0.017958      7.0099      1.4756     0.30709
92            19.104     0.53682     0.12277   -0.010904      6.2458      1.5057    -0.35494
93             -5.81    -0.61128     0.29238     0.24739     -1.6944     0.89706     0.39205
94            3.1686     0.32678     0.95825   0.0068304      1.6269      1.1574     0.41806
95            8.1538     0.38505     0.40269    0.017563      5.0454      1.4972    -0.26928
97           -4.9491    -0.40762     0.41889    0.017493     -3.3915     0.80306    -0.11032
99            3.1801     0.49388     0.30668    0.040511      1.2361      1.1038    -0.35352
100         -0.42226    -0.13126      0.8203    0.021122     -0.2619     0.97978     0.55427
101           18.102     0.37463    0.098633     0.18232      6.3594      1.6426    -0.62764
103          -34.637      0.1607     0.46587    0.015117     -18.769     0.49656     0.73086
104           31.232    0.046378     0.17463   -0.030005      11.862      2.9643    0.066247
105             18.1    -0.48558     0.39214   -0.017745      11.908      3.1413    -0.82824
106           33.356     0.50891     0.29263     -0.0157      14.695      2.3822    0.069527
107           95.093     0.70114      0.5241     0.58263       30.37      2.8811     0.28943
109           8.3677     0.52896      0.7062  -0.0075341      3.8267      1.3417    -0.17832
111           24.061     0.70275     0.56705     0.23238      10.124      1.8144     -0.5111
