ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             13.739      0.4936     0.98718     0.46165      3.6552      1.4641     0.20902
1             11.226     0.43415   -0.026179   -0.038583      1.8041      1.6886    -0.39189
3             3.1383     0.14866     0.44247     0.14366     0.89117      1.1959    -0.20754
4            -1.2801     0.39849     0.42602    0.094198    -0.34343     0.94958    -0.22497
5             8.6389    -0.24354      0.1773   -0.021482      3.8938      2.3921     0.40864
6            -10.513     0.37077     0.21115     0.14178     -1.8234       0.848     0.33662
9            -14.872     0.32447    0.064683     0.30042      -3.293     0.78826   -0.047429
10            16.933     0.38948     0.69351     0.18576       3.836      1.4567   -0.061591
13            2.8773     0.30548  -0.0059635   0.0068064      1.0376      1.1636     0.20117
14            5.4382     0.10329    0.095978   -0.076986      1.7295      1.4829     0.51132
15            14.293     0.54511       0.674    0.036236       4.347      2.0825     0.42759
16            20.739     0.41715   -0.029629     0.10263      3.4006      2.3522   -0.095788
17             77.65     0.18528    0.069238     0.06531      8.4371       2.212     -0.9935
18          -0.74273    -0.31791    0.090291    0.080052    -0.29551     0.94886     0.35129
19           -4.5594     0.11655    0.050437  -0.0090124     -1.1151     0.86593     0.23859
20            36.558    0.097647     0.48477    0.019668      5.8115      2.5502     0.23568
21             11.09     0.45291   0.0084805    0.019992      2.2966      1.4956    -0.33231
22            5.5979     0.38909    0.079319    0.053879      1.9686        1.63     0.61421
23            8.3393     -0.0108     0.31772    0.075492       3.785      1.5187    -0.19262
24           0.70496   0.0051034     0.15554   -0.053375     0.44193      1.0473     0.13751
25            3.2532     0.12915   -0.061743     0.15941      1.1157      1.1376    -0.33816
26            8.8207     0.52912    0.029936    0.028989      2.9194      1.2659   -0.051025
27            3.6199   -0.012951    -0.03684    0.021577      1.1474      1.6728    -0.38281
28            160.82     0.55599     0.13791    0.060408      11.324      -9.706    -0.48768
29            3.4846   -0.031372   -0.018235     0.22652      1.2337      1.1896     0.32794
30           -0.2664     0.38263    0.012347     0.10205   -0.056822     0.98993    -0.14965
31           -1.1233    -0.20048     0.15828     0.17204    -0.42925     0.95919      0.2551
32          -0.52194   -0.050749    0.082016     0.12122   -0.091262     0.94855   -0.090618
33          0.010058    0.035727   0.0080229   -0.052945   0.0032329      1.0008     0.26529
34            56.528    0.028661     0.67168      1.8354      10.817      4.1985    -0.76607
35             18.92   0.0047229   -0.037616    0.062161      3.7149      6.3007     -1.9279
36            38.187   -0.065279    -0.02639      0.1628      7.5773      5.2487     -2.7664
37            10.552     0.09497   0.0087198   -0.065187      2.1614      1.8251     0.73021
38            11.762     0.50602     0.17458    0.031303      2.9292      1.4611    -0.54712
39            -11.49     0.34784   -0.084703   -0.030748     -4.5042     0.38867     0.56194
40            8.9549     -0.1142    0.016082     0.10691      2.4765      1.4018    0.046768
41            20.481      0.4939  -0.0029482     0.13631       4.452      1.9985    -0.34807
42             6.921   -0.060154     0.13558     0.14336      2.2727      1.3604    -0.93935
43            14.222     0.18182   -0.044789   -0.074389      2.6132      4.5156    -0.44935
44           -3.6367    -0.27173    -0.05365    0.075006    -0.73849     0.85798     -0.1068
45           0.65637     0.15003    0.034157  -0.0053538     0.28641      1.0314    -0.68492
46            9.1021     0.49969     0.34331     0.20304      4.1124      1.4305   -0.023463
47            2.9809     0.25296   -0.024295   -0.069269     0.91335       1.149     -0.2509
48            12.966     0.59372    0.075992    0.091642       1.208      1.5806   -0.052703
49            13.443     0.18485     0.31914     0.10191      4.5879      1.6222    -0.59461
50             2.969     0.09261    0.080449     0.15568      1.0569       1.211     0.75541
51           -4.6869     0.21434     0.33075    0.030016     -1.2758     0.89684   -0.047436
52            2.4766     0.24441    0.023829   0.0043658      0.7383      1.1673    -0.28399
53             1.042     0.55434     0.32713    0.091624     0.11622      1.0305     0.18491
54           0.37617     0.27373     0.16694    0.042179     0.10381      1.0216     0.48564
55            39.059      0.4434     0.28587     0.12802      5.1925      1.4904     -1.1384
