ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             -10.94     0.62833   -0.058842   -0.056825     -2.2669     0.75644    -0.18945
2            -15.835     0.24844    -0.11676    -0.13691     -2.9315     0.52311     0.58592
18           -5.9772    -0.37461    -0.12692   -0.056679    -0.64218      0.7883      1.3388
19           -3.8603     0.41461    -0.11646    -0.11575    -0.77844     0.89319    -0.37316
20           -13.725   -0.022525   -0.082511    -0.10518     -2.1204     0.66227     0.52954
25           -14.482    0.094677   -0.092257   -0.093293     -2.0399     0.60908     0.39948
27           -13.054     0.25874   -0.063798   -0.029008     -2.7838     0.65099     0.61539
32           -2.9401     0.30262    -0.10215    -0.07255    -0.55599     0.87138     0.63388
34           -20.893    -0.14714   -0.058898   -0.068638     -3.3014     0.51167     0.70449
42           -15.705   -0.059315   -0.099632   -0.093528     -2.8522     0.53538     0.90267
48           -8.1135     0.58749    -0.10905    -0.10744     -1.7907     0.80048     0.20495
53           -15.954     0.20946   -0.094825   -0.049968      -2.403     0.66737   -0.079727
55           -40.305    -0.17455   -0.079888   -0.075059     -4.9173     0.50781     0.96993
56           -9.7699    -0.20008    -0.13491    -0.13864     -1.4506     0.57957      0.9381
62           -17.951    -0.24029   -0.096432    -0.10953     -2.3763     0.55799      1.0481
66           -36.845     0.20438   -0.064925    0.018619     -3.6995     0.45388    -0.29813
69            -7.011    -0.34266   -0.089939   -0.079069    -0.59901     0.76211     0.61115
70           -43.749    0.090892    -0.10494    -0.11069     -8.7723     0.38862     0.26331
100          -39.316     0.48634   -0.078836   -0.075392     -4.5902     0.51985     0.54462
111          -23.173      0.3895    -0.11643    -0.12518     -2.8101     0.66905      0.2677
114          -9.8794     0.65269   -0.089659    -0.10045     -1.1881     0.86162    -0.13101
122          -37.581    -0.81859    -0.12522    -0.11385     -6.5603     0.45219     0.64535
127          -10.202     0.62348   -0.073383    -0.11667     -2.4739      0.7002     0.37189
132           -27.72     0.27758   -0.092058   -0.052065      -6.843     0.37783    -0.16038
139          -16.838     0.46677      -0.117    -0.13008     -2.6765     0.68276    0.017638
141          -15.452     0.48335    -0.11018    -0.12164      -2.325     0.66457      0.4041
143          -36.033     0.12561     -0.1106   -0.077012     -7.2658     0.30375    -0.22979
146          -15.265     0.42569   -0.074035   -0.058572     -3.4612     0.71017     0.26793
149          -16.803     0.27281   -0.099956    0.013081     -5.7304     0.55562     0.34917
151          -12.622     0.31302    -0.14027    -0.13768      -1.473     0.67387     0.13277
153          -4.3018      0.3028   -0.069006   -0.071365      -1.085     0.87398    -0.17804
174          -62.031   -0.086385    -0.12528    -0.11854     -9.2452     0.20161     0.83549
177          -29.468     0.16544   -0.075733    -0.12887     -3.3923     0.58409     0.78536
182          -15.923     0.74474   -0.084638    -0.10968     -3.0297     0.62879    0.084618
183          -22.441     0.22888    -0.08919    -0.12995     -3.4387     0.59134     0.46972
187           2.8815     0.22581    -0.10665   0.0011531     0.32236       1.127    -0.63058
193          -28.912   -0.028584   -0.090136   -0.096989     -3.7041     0.49211    0.086426
195          -55.626    0.029004    -0.11114    -0.11688     -9.7875     0.35089     0.85631
196           1.6092    0.056019   -0.072764    -0.11917     0.31565      1.0549     0.41729
198          -20.425     0.49748    -0.12842    -0.13592      -2.726     0.64626     0.48711
202           -11.62     0.35878    -0.11882    -0.03389     -1.7356     0.56904    -0.17119
210          -18.266     0.27235    -0.09516    -0.12319     -2.7914     0.50991     0.36369
211          -2.9445    -0.38349    -0.14287    -0.12793    -0.46067     0.78364      1.1193
213           -2.571     0.11064    -0.08847  -0.0035075    -0.29099     0.65979      1.6647
221          -22.199     0.30947    -0.11017    -0.10828       -3.27      0.4842     0.70311
225          -5.2706     0.40727   -0.099589   -0.085158    -0.84369     0.71952     0.70143
