ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
4             5.9321     0.30855    0.099158     0.15473      3.8321      1.4225    -0.34852
6             4.8616     0.25879   -0.049926   -0.015935        2.61      1.2998    -0.13119
7              3.534     0.46291   -0.014067    0.019085      2.5211      1.2702    -0.75839
9            -1.3864     0.57331     0.40482     0.22431    -0.89068     0.94535     0.26114
10            6.8011    -0.29196      0.2177     0.19143      5.1599      1.9826    -0.34441
11           -14.497      0.2307    0.024086    0.066647     -3.7292      0.7827     0.34998
12            11.917     0.40681     0.16219   -0.021556      4.8005      1.5963     0.25339
13           -2.7508    0.039425    0.081714    0.015587      -1.721     0.88804      0.2305
14            3.2877      0.1956   -0.046324     0.13168      1.8758      1.2331    -0.45077
15           0.18274     0.26165     0.33818     0.02756    0.084964      1.0082      0.3734
17            1.6424   -0.076584      0.2213    0.045075     0.59478      1.0691   -0.044587
18            2.7999     0.59238  -0.0079147     0.47724      1.1551      1.0791    -0.31848
19            -6.153    -0.22521    -0.03736    -0.10701      -1.437     0.83882      0.3465
21            5.3613     0.26909     -0.0676    0.092996      2.7537      1.3051     -1.1524
22           -21.628    -0.33253     0.19159  -0.0077307     -8.5637     0.59672     0.18368
23           -5.6956    0.087544     0.23104   -0.086921     -1.9528     0.81018     0.39586
24            15.285    -0.56727    0.094332     0.46518        5.29      1.4958    0.025895
25            10.966    0.074749    0.083699   -0.021573      4.5744      1.5971     0.13718
26            8.2785     0.31178     0.22199    -0.05146      1.5375      1.1379    0.080469
27           -1.7714    -0.44307     0.14164    0.044027     -1.2929     0.91916     0.22924
29             -2.93    -0.46775   -0.053932   -0.082254    -0.78066      0.9178     0.63707
30            4.7113     0.56187     0.13391   0.0038216      1.9777        1.19    -0.17774
31           -1.4434     0.35026    0.019566      0.1676    -0.73855     0.94698    -0.19117
32           -1.6098     0.13068    0.010507  -0.0076119     -0.3185     0.92958    0.022318
33            8.6078     0.35194     0.47919  -0.0048413      3.1323      1.3027     0.14386
35            5.9206    -0.20511   -0.032972     0.34887      1.8939      1.1803     0.65416
36            7.4999     0.63135    0.065731    0.082588      4.0164      2.4376    -0.38657
38            15.929   -0.063303     0.26507   -0.043637      3.5922      2.1681    -0.30849
40            7.0931     0.18346     0.43447     0.15042       3.355      1.2112     0.29344
41             2.858     0.33595     0.29697   -0.071952      0.7895      1.1618    -0.18989
42            11.319    -0.45738    0.057721   -0.042444      3.4481      3.1082     0.17858
43            20.648   -0.075116     0.14434   -0.093701      5.0002      2.7264    -0.47028
44           -8.3788  -0.0044805     0.23668     0.15084     -3.9283     0.72938     0.19931
45           0.90881     0.46907     0.31554    0.022479     0.45406      1.0523    -0.30148
48           -17.001     0.42462     0.11666   -0.051907     -4.0196     0.74906     0.24018
50           -7.3616     0.64351   -0.034952   -0.075445     -2.3476     0.73963     0.14926
52           -5.0149      0.1495     0.35949    0.044123     -2.7198     0.84058   -0.091798
53           -3.3585    0.049697     0.10772   -0.066264     -1.7194     0.84978    -0.31312
54           0.66986   -0.043036   -0.033035    0.083315     0.39146      1.0307    -0.17993
55           -5.0757     0.55987     0.30759   -0.080849     -2.5368     0.81102     0.11689
58            -0.366     0.37512     0.40923   -0.034918    -0.16329     0.98686     0.21506
62           -13.579    0.008429    0.059381   -0.064965      -3.138     0.64325      0.1183
64           -9.1861     0.15944    0.085312     0.08328      -3.596     0.78498     0.60411
65            3.3288      0.6969     0.21262  -0.0053406      1.5317      1.1749    -0.51179
66            7.9241   -0.058649    0.032398   -0.027981       2.341      1.1968     0.56673
67           -4.8396    0.094984     0.49772    -0.11021    -0.96687      0.8687     0.61749
68           -9.5122    -0.12062    0.093589     -0.0363     -3.7072      0.7309     0.13914
70           -2.0577     0.22942     0.19945   -0.036355       -1.03     0.89257     0.18904
77           -1.0894     0.37348    0.069155     0.10778     -0.3589     0.96151    -0.32721
82            -3.031     0.27895     0.45791     0.28393     -1.3703     0.90035    -0.31073
84           0.34756     0.68595     0.46485     0.21742     0.13903      1.0101   -0.025236
89            17.219     0.73257     0.43592     0.11729      4.6053      1.9703    -0.29342
91           -3.0588      0.3119     0.09636   -0.041574     -1.6021     0.87029     0.12418
92           -10.129     0.30357     0.13264     0.03722     -2.6078     0.71845    -0.43445
93           -4.9291     0.15242     0.20106   -0.041084     -3.3566     0.77199     0.33696
94           -8.8931    0.021665     0.37201    0.015379     -2.3682     0.71134     0.38401
96           -7.2943    -0.15393     0.21974   -0.075102     -1.9588     0.90656     0.49267
97            8.0411    0.019699     0.47734     0.11118      2.3733      1.2706    -0.51456
100           5.0214     0.34702     0.45229  -0.0060471      1.2547      1.1855    0.013434
101           6.3782     0.17545     0.38148      0.1132       2.724       1.651     0.58046
103           11.501    0.098515     0.20749   -0.046126      2.5297      2.1401    -0.40482
104          0.88249     0.21953    0.030327    0.051529     0.18777      1.0299     -1.0419
105          -16.303     0.28827    0.077542     0.23786     -4.8543     0.74181     -0.2882
