ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             1.4994     0.64837     0.26716   -0.022208      0.4811      1.0609     -0.1652
6            -20.015   -0.057951     0.21948   -0.068286     -7.0178     0.56101      0.3104
10           0.37836    0.027307     0.35471     0.15883     0.16451      1.0099      0.7257
14            3.0317     0.53093     0.17816  -0.0073091      2.5774      1.1649   -0.090747
15            1.9102    -0.13154     0.12218     0.10705     0.34217      1.0355    -0.10342
16            16.565     0.42696      0.4005    0.036638       7.607      1.6525     -1.3001
17            4.6397     0.52761    0.097352   0.0046816       1.327      1.3335      0.2005
18            8.4486    -0.22322     0.49146     0.09641       4.251      1.4457    0.075136
19           -1.1798     0.66528    0.065355   -0.061086     -0.3176     0.95792   -0.040667
20           -10.328      0.2536     0.14983   -0.012388     -3.8965     0.74905     0.23988
21            5.6255    0.054465    0.024109  -0.0024447       1.161      1.1906      0.1535
22            33.419     0.49563    0.083395   -0.028143      7.3716      2.8652     -1.9948
23            125.66      0.3402    0.058427   -0.034317      18.631      3.7898     -1.1763
24           0.39346     0.28784   -0.026177   -0.014107     0.17958      1.0189    -0.18373
25           -12.688   -0.070551     0.45995   -0.084441     -3.1057     0.69913     0.55695
26            9.0798    0.018366     0.14099   -0.041298      2.0593      1.4949     0.19082
27            2.6614     0.35767    0.053644     0.10769     0.91281      1.1751     0.51435
28            186.24     0.52619     0.19503   -0.046383      20.916      -24.77    -0.80363
29           0.99997    -0.17475     0.14556   -0.040126      0.3293      1.0493      0.3296
30           -1.5945    -0.14776     0.10973     0.13416    -0.49839     0.95328    -0.36714
32           -23.329     0.14564   -0.030077     0.05084     -6.2135     0.55499      0.5916
33            5.2925    0.088314   -0.068094     0.03338      1.4822      1.1533   -0.028817
35            25.352     0.15121    0.050936   -0.015478      6.1392      2.3931    -0.70397
36            17.394     0.29849    0.088957    0.062239      2.5374      1.3991     0.11869
37            7.8221     -0.6006      0.1554   -0.015039      3.1063      1.5215     -0.1467
38           -4.4358     0.21324     0.23896   -0.045995     -1.5777     0.85209    0.082911
39           -3.8098     0.14213   -0.066249    0.065021     -1.9127     0.88028      0.1504
40            -2.825    0.050137     0.11185    0.058824     -1.5582     0.85041  -0.0091767
41             22.32     0.16922     0.37122  -0.0078373      4.6629      1.6683     0.14439
42            5.9094   -0.077116     0.33518     0.31833      1.7783      1.1589     0.23902
43            11.917      0.1363    0.012254   -0.058499      1.4461       1.393    -0.78799
44           -4.9547     0.13182    0.063261   -0.017336     -1.8027     0.60276     0.56524
45           -5.8687     0.13697   -0.035949   -0.071057     -1.4017     0.70706     0.55517
