ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             1.4994     0.64837     0.26716   -0.022208      0.4811      1.0609     -0.1652
1            -2.4686   -0.015211     0.94444    -0.08413     -1.3976     0.90241      0.2311
2            -1.6283     0.31206      1.7722    0.043548    -0.42879     0.96077     0.34446
3             3.6166     0.57273     0.83751   -0.042718      1.5335      1.1573     0.17302
4            -3.5496     0.46491      0.6677    0.031503    -0.92647     0.89147     0.10486
5            -1.5616     0.57779     0.61363   0.0058464    -0.57704     0.93508      0.3629
6            -20.015   -0.057951     0.21948   -0.068286     -7.0178     0.56101      0.3104
7            -1.1687      0.5733      1.7605    0.021665    -0.71092     0.95452     0.44735
8              4.113    0.088139      2.0949      0.2115      2.1061      1.0702     0.62431
9               40.1     0.81111      1.0828     0.26841      6.5588      1.8291    -0.39535
10           0.37836    0.027307     0.35471     0.15883     0.16451      1.0099      0.7257
11            72.084  -0.0044449     0.56982     0.77728      28.703      4.3181     -3.4057
12             8.475      0.3542      0.6691     0.26042        1.29      1.1438    -0.36844
13           -4.6458      0.3188     0.53022  -0.0041363     -3.0139     0.76135     0.41625
14            3.0317     0.53093     0.17816  -0.0073091      2.5774      1.1649   -0.090747
15            1.9102    -0.13154     0.12218     0.10705     0.34217      1.0355    -0.10342
16            16.565     0.42696      0.4005    0.036638       7.607      1.6525     -1.3001
17            4.6397     0.52761    0.097352   0.0046816       1.327      1.3335      0.2005
18            8.4486    -0.22322     0.49146     0.09641       4.251      1.4457    0.075136
20           -10.328      0.2536     0.14983   -0.012388     -3.8965     0.74905     0.23988
22            33.419     0.49563    0.083395   -0.028143      7.3716      2.8652     -1.9948
25           -12.688   -0.070551     0.45995   -0.084441     -3.1057     0.69913     0.55695
26            9.0798    0.018366     0.14099   -0.041298      2.0593      1.4949     0.19082
28            186.24     0.52619     0.19503   -0.046383      20.916      -24.77    -0.80363
29           0.99997    -0.17475     0.14556   -0.040126      0.3293      1.0493      0.3296
30           -1.5945    -0.14776     0.10973     0.13416    -0.49839     0.95328    -0.36714
31            16.949    0.045399     0.64542     0.11812      4.2482      1.4618   0.0085107
34           -20.129     0.64632      9.3478     0.19005     -5.1942      0.7921      0.7454
36            17.394     0.29849    0.088957    0.062239      2.5374      1.3991     0.11869
37            7.8221     -0.6006      0.1554   -0.015039      3.1063      1.5215     -0.1467
38           -4.4358     0.21324     0.23896   -0.045995     -1.5777     0.85209    0.082911
40            -2.825    0.050137     0.11185    0.058824     -1.5582     0.85041  -0.0091767
41             22.32     0.16922     0.37122  -0.0078373      4.6629      1.6683     0.14439
