ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0            -2.5094     0.36231     0.15442    0.017175    -0.48712     0.93842    -0.08901
1            -2.8743     0.79768     0.37204    0.065116     -1.3539      0.8573     0.20679
2           -0.11414     0.73974     0.23259     0.07032   -0.036999     0.99192     0.10499
3            -29.399     0.22572      1.3497     0.12792     -12.329     0.49041     0.85579
4            -22.824     0.58044      1.3931     0.54352       -8.81     0.57436     0.90933
5             14.148     0.41734     0.14854   -0.090638      2.1431      1.2672     0.31793
6             5.4997     0.26586     0.30312    0.054901       2.109      1.1845   -0.074181
7              12.92     0.48069     0.42683     0.37923      6.1239      1.4875    -0.93688
8            -13.771     0.22884      1.6085    0.045402     -5.2629      0.6687     0.56107
9            -4.6766     0.65154      1.7365     0.11574     -1.9043     0.82783     0.66652
10           -1.6726     0.34531     0.34801     0.11633    -0.54335      0.9282     0.15345
11            1.8045     0.39991     0.40636   -0.031627      0.9908      1.1315     0.15606
12            0.2532     0.60846     0.23795    0.016583     0.09199      1.0084   -0.035964
13            4.3272     0.36241     0.22911     0.05271      1.9019      1.3634    -0.16524
14           -2.2631     0.32043     0.17363    0.065356      -1.036     0.89493     0.43669
16            9.3639     0.22899      0.1435    0.042129      3.0684      1.4198    0.043356
17            3.8495     0.25159     0.32583     0.21419      1.6049      1.3273    -0.66714
18            2.8532     0.30546    0.019445    0.067385     0.94887      1.2168    -0.37897
20           -1.6453     0.63265     0.66615    0.052841    -0.54771     0.93043     0.26262
22            29.114     0.46665     0.24677    0.017133      4.0744      1.8916     0.24491
23          -0.81983     0.37398    0.041547     0.12131    -0.45371     0.95893    -0.36594
25           0.20713   -0.079689    0.031002    0.064784    0.054385      1.0103     0.66906
26           -8.6262    -0.20827      0.4028   -0.019428     -3.4021      0.6449     0.47523
34            10.873    0.075659     0.14145  -0.0055159      3.3295      1.4224     0.46169
38            20.537     0.35922    0.041718   -0.017517      6.5928       2.677    -0.79735
39           -2.8681     0.21133    0.083222     0.13813    -0.71208     0.88216    -0.27782
40             11.26    0.091174     0.13696   -0.049941      2.4936      1.2561     0.24038
41              21.9     0.59927      1.0462     0.43365      5.8034      1.7181   -0.029912
42           0.55459     0.21402     0.13024    0.042929     0.18991      1.0218    -0.39112
43           -6.0411     0.20964     0.43168    0.042946     -2.1713     0.77148     0.49908
44           -7.2036    -0.22175    0.045472   -0.059409     -1.1498     0.83906     0.63275
46           -6.1669     0.27475    0.016733    -0.04173     -2.1503     0.67163    0.077715
47            11.597     0.21654     0.20825   -0.018664      3.9448       1.387   -0.011843
48          -0.30667     0.25601     0.26038     0.17884    -0.11794     0.98178     0.74869
51           -3.3853     0.44823     0.13443    0.083137     -1.0217     0.82806     0.19656
54            12.944      0.5892    0.021099   -0.054048      2.4767      1.4642    -0.40422
55            2.6303     0.23805    0.015322    0.067544     0.86599      1.3358     0.38715
57           -19.983    -0.47915    0.053505    0.055786     -7.0869     0.46377     0.75499
58            -11.03     0.79512      1.2054     0.27449     -2.3921     0.83713     0.32618
59             2.027    -0.14551    0.038002    0.086241     0.77977      1.1254     0.25143
61           -5.0842     0.45733      0.3001     0.17152     -1.6585     0.83371   -0.086854
62            -10.81     0.67233      0.1729    0.045447     -3.1584     0.67968     0.45895
