ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0              10.56     0.28171     0.18571    0.024391      2.1511      1.3814    0.082579
1            -7.4444      0.3849     0.10196    0.043964     -1.9756     0.84312    -0.32873
2             26.133     0.16948      1.2915     0.16628      5.5554      1.7999    -0.13236
3            -8.0307     0.62535      1.0869     0.13711     -1.5384     0.84464     0.32268
4            -6.7138     0.30935     0.48723   -0.037546     -1.8761     0.82798     0.07947
6            0.31392    0.027409     0.88765     0.35797    0.078454      1.0093     0.32393
7             35.575   -0.057699     0.13054     0.22851      5.9398      2.2063     0.13862
9            -7.8648     0.16647   -0.004506   -0.063128     -1.4386     0.84266  -0.0084398
10           -8.7188     0.38995     0.16472   -0.028837      -2.074     0.78735    0.084413
11           -0.7061     0.58169      0.8155    0.048281    -0.21229     0.98105     0.20379
12            13.952     0.16412    0.067745      0.1793      3.8599       1.429      -0.319
13           -2.9963   -0.035244     0.14618    0.095454    -0.92798     0.90508    0.094832
14           -9.7019     0.12007    0.032611    0.013712     -2.3228     0.72525     0.39184
15           -2.5295    -0.13619     0.22749    0.067622    -0.64028     0.92375     0.21141
16           -11.027     0.25522     0.19347   -0.060479     -2.8796     0.74357   -0.093996
17           -12.769    -0.53359    0.051751  -0.0052038     -1.5751     0.72442    0.096593
18            29.167    -0.11591     0.17219    0.097358      5.8641      1.6752    -0.10009
19          -0.26641    -0.25287   -0.037189    -0.05488   -0.052594     0.98892     0.21054
20            37.023     0.80481     0.51452   0.0029276      6.6998      1.8353    -0.35867
21           -16.517     0.47114    0.011351   -0.031997     -3.5734     0.61992     0.44048
22           -3.8773     0.54113     0.46606    0.078984    -0.83888     0.91488  -0.0084432
23           -7.0718     0.11237     0.40434     0.13248     -1.1961     0.83883    0.076287
24            6.1751   -0.020552      0.1917     0.10952      1.0582      1.1658    -0.29357
25            8.6864    -0.34792    0.050942    0.026622      3.2429      1.3267   -0.050198
26           -6.2861    -0.06226     0.15717   -0.010321     -1.2814     0.82763   -0.047564
27           -7.5207      0.2777     0.33006   -0.031084     -1.6996     0.81138    0.083821
28           -3.9595     0.24701    0.026561  -0.0054074    -0.73987     0.88501     0.18157
29           -8.1618     0.14034     0.32669   0.0081603     -1.8907     0.78005     0.42964
30             3.591    -0.19487   0.0059733  0.00037379     0.72661      1.0932     0.13164
31           0.94461    -0.35903     0.24185   -0.022812     0.22206      1.0265     0.19089
32            13.489    -0.58195    0.020461  -0.0037728      1.9763      1.6964    -0.21923
33           -13.998     0.67074     0.28144     0.37619     -2.7619     0.74136     0.56592
35           -1.4806      0.4347    0.010031   -0.067848    -0.23149     0.93885   -0.092777
36            10.781     0.72797      1.0323     0.15334      2.4975      1.2448   0.0018687
37           -4.6456     0.04731    0.098544    0.062269     -1.0828     0.85588     0.30617
38           -6.8235    -0.16093     0.18456    -0.10039     -1.2777      0.8322     0.15217
39            4.0812    -0.26904   -0.061476    -0.08983     0.49178      1.1282     0.52317
40           -4.2605    -0.12156     0.10036   -0.019321     -0.8673     0.85767    -0.17911
41            9.5004     0.51831     0.52064   -0.038334      1.9756      1.2535   -0.036439
42             5.183    0.093782     0.65405  -0.0090083      1.1361      1.1771     0.17486
43            2.0449    0.024141     0.14205    -0.06829     0.37183      1.0575     0.12653
44           -4.3684    -0.49938     0.11033    0.053008    -0.48762     0.91337     0.39807
45           -10.829   -0.002678    0.076665    0.031584     -2.5636     0.73926   -0.061656
46            0.5648    0.043287     0.39017    -0.05312     0.13952       1.017     0.12345
47           -9.5122    0.045205     0.15735    0.055132     -2.0885     0.78299    -0.17031
48           -2.9707    -0.17215     0.13105   -0.012834    -0.75979     0.88389    0.037231
49           0.82535    -0.24334     0.19397   -0.040678     0.14997      1.0182    -0.32764
50           -12.657     0.23012     0.37849     0.11453     -3.3817     0.69996     0.26413
51            -5.519     -0.1226    0.033321   -0.097927    -0.91505     0.85827     0.23596
52             6.473   -0.069877     0.28981    0.046781      1.7666      1.1787    -0.49158
53           -3.6906     0.73913      1.2545     0.11995    -0.65681     0.93361      0.2588
54             5.574     0.42609     0.54264    0.036634      1.1472       1.148     0.27465
55           -4.5052    -0.42149     0.27052   -0.026541     -1.0406     0.87206     0.10161
56           0.87014     0.37034     0.21809   -0.073024     0.13548      1.0309     0.28419
58            -4.765    0.022627      0.1074    0.044128     -1.3813     0.85985     0.29995
60           -9.9805     0.20741     0.58865    0.061765     -2.5393     0.72047     0.21974
61           0.57714     0.42923     0.83286   -0.033146     0.12477      1.0143     0.03837
62          -0.74993    -0.25674   -0.025546   -0.055058    -0.13779     0.96834     0.14209
63            5.7494     0.76925      1.3183    0.053195      1.0792      1.1854     0.26094
65           -7.3118     0.22441      1.1756   -0.058267     -1.5949     0.85163     0.27684
66            -4.867     0.71254      1.1308     0.11537     -1.1382     0.88117    0.076842
67            -6.208     0.68528      0.5629     0.12347     -1.0172     0.87568    0.075139
68           -9.9742     0.32153     0.40864     0.15311     -2.0946      0.7705    -0.79272
69            -13.34   -0.061729     0.68892     0.21683     -3.6653     0.66541     0.45257
70           -8.7411     0.23193     0.86494   -0.045129     -1.9122     0.81722     0.14105
71          0.096893     0.35779      0.5985   -0.020251     0.01811      1.0033     0.45693
72           -12.675      0.7174      0.3072    0.063277     -2.6113     0.69258      0.1978
73           -6.9517     0.79391      1.0166     0.22177      -1.908     0.81625   -0.032082
74           -2.5924    -0.20828     0.38064    0.023165    -0.50594      0.9248     0.15214
77            4.1658     0.28467     0.66836     0.14279     0.62249      1.1258    0.058258
78           -21.114     0.41828     0.42786   -0.036044     -2.0774     0.68625     0.45445
79           -15.324     0.65299      1.4842     0.41065     -2.5739     0.74913     0.60068
80           -1.1473     0.55543     0.72862     0.32362    -0.22029     0.97351    -0.24335
84             2.255    0.088987     0.18479    0.018704     0.43725      1.0763    -0.12694
85           -21.436   -0.095978   -0.021439   -0.031044     -2.1626     0.69129     0.55345
87           -9.5882     0.31537      1.1906     0.21203     -2.4568     0.76332    0.057147
88            2.1468     0.43782     0.25252     0.16445      0.3781       1.065      0.3608
89           -16.171     -0.0183     0.11711    0.026294     -1.8239      0.7307     0.31245
90           -84.898     0.62719     0.36704     0.38922     -11.276     0.36305     0.89569
91            -5.091      0.1883     0.68316    0.028192    -0.94758     0.81259     0.18763
92            0.8661     0.61722     0.94384     0.32819      0.1267      1.0217     0.37968
94           -4.5262     0.21854      1.4484     0.11574     -1.1221     0.91358     0.41035
95           -7.5235     0.68223      1.0916    0.051973     -1.8297     0.83296   -0.027024
96            8.7942     0.90334     0.76384       1.272      1.6863      1.1562    0.020698
97            2.7071      0.2407     0.76825  -0.0096448     0.43414      1.0747     0.52485
103           2.7542     0.24232     0.40225   -0.097329     0.39865      1.0821     0.18402
104           6.5737     0.62926       1.007    0.023123      1.4846       1.251     0.21248
106           10.405    0.034759     0.47533     0.08774      2.0373      1.2497    -0.37387
108          -9.6276    0.085012    0.051433   -0.056924      -2.229     0.79875     0.11698
109          -13.679     0.36488     0.54686    0.045349     -2.2108     0.76403    -0.14032
110            4.196     0.79118     0.95208     0.51441     0.95483      1.1093     -0.1958
111          -14.278      0.7146      1.0736    0.038206     -3.2157     0.75337     0.56725
112          -7.3975   -0.028853     0.90261     0.18646     -1.4154     0.85416     0.31458
113           -9.284     0.36853     0.16689    0.068317     -1.3775     0.79474    -0.48475
114          -1.4979     0.54777      0.8869     0.28738    -0.38263     0.95559     0.27053
115         -0.38299    0.089982     0.29045    -0.01776   -0.074196     0.98828     0.14426
116          -5.3874     0.46081      0.9689    0.067913      -1.031     0.84109     0.15384
117            1.503     0.73471     0.25493      0.1105      0.2389      1.0206    -0.28151
118          -6.0302      0.6979     0.59733    0.074753     -1.3391     0.86057     0.15506
119           5.0067     0.38146      1.4314      2.0303       1.084      1.0888     0.58262
120          -23.073    0.073952   -0.030489    0.017137     -1.5364     0.71929     0.33914
121        -0.092601     0.54525     0.74116     0.10659   -0.018287     0.99712    -0.18694
122            8.273     0.86865      1.0209     0.19439      1.2014      1.2556     0.13616
123           2.7997     0.15673    0.051816   -0.047864     0.29638      1.0485   -0.050919
124           8.6616     0.61434      1.0351    0.079718      2.2535      1.2121    0.064562
125          -14.891     0.48369       1.416   -0.049532     -2.8841     0.79314     0.37119
126            1.901     0.55105     0.68916    0.047118     0.57179      1.0823     0.11303
127          -7.9466   0.0042997     0.40693     0.24669     -1.2094     0.82788     0.16694
128          -37.524     0.16225      1.4504   -0.013416     -10.395     0.39728     0.72711
129          -17.995     0.27046     0.13683    0.024984     -2.1433     0.80333     0.17078
130          -3.8827   -0.031811     0.11392     0.24353    -0.93058     0.93508    -0.30423
131           2.1358     0.68365     0.44566     0.16212     0.43918      1.0482     0.47924
132          -18.336     0.51339     0.36198    0.051041     -2.4496     0.76063     0.33493
133          -10.051     0.67603      0.3547    0.069392     -1.2575     0.80193   -0.058096
134           12.901     0.48723     0.38147     0.72354      2.7739      1.3304     0.14273
135           12.168     0.47694    0.089998    0.055344      2.0867      1.8342    -0.56326
136          -7.6488     0.88726     0.80225     0.14821     -1.0369     0.86472       0.255
137           27.067    0.010341     0.21326      0.2145      5.6497      2.4033  0.00027925
138           9.3143     0.34765     0.78655     0.16355      1.5014      1.1652     0.39346
139          -6.0005     0.49688     0.69437  -0.0080006    -0.63525     0.91227     0.35513
140            9.839     -0.3022    0.022091   -0.043532      1.3124      1.2605   0.0079957
141           7.4843     0.60271     0.96165    0.027618      1.7608      1.3179     0.26889
142           115.31    -0.13918  -0.0082491     0.49403      22.059     -14.247      0.1211
143           24.892     0.33636    0.024966     0.14831      3.3297      1.5453    -0.15139
144          -10.493    -0.32883     0.47723    0.044681      -2.156     0.74391     0.52187
145          -19.817     0.63166     0.67367     0.08133     -6.3828     0.63849     0.51159
