ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
97            55.996     0.42139     0.55173     0.27409      19.882      2.5961   -0.051509
98            32.008     0.19992     0.88916    0.036551      7.7154       1.754     0.37061
99            21.892   -0.018874   -0.091428   -0.094923     0.74721      1.5971   -0.095167
100           6.7049   -0.020381     0.66114     0.16589      2.5983      1.2773     0.55761
101           18.533    0.089916     0.24156      0.1709      7.0674      2.3798     -0.4625
102           16.515     0.49185     0.33881   0.0032837      2.5985      1.2457     0.55442
103           14.529     -0.1973     0.14323    0.089416      2.9854      1.4227     0.07924
104           7.4901     0.24773     0.71792    0.038552      2.2696      1.2529     0.51252
105           252.52    -0.17157   -0.073364     0.16094      88.472     -39.972     -12.872
106            6.505    -0.16112    0.040817   -0.062137     0.53805      1.1888     0.61119
107          0.09169     0.29838     0.41427     0.33803    0.013408      1.0017     0.51227
108           179.88     0.29084     0.10894     0.24487      26.989      13.721     -1.9803
109           13.921    0.024122    0.021805   -0.015908       1.649       1.247   -0.050269
110           26.781    -0.23324    -0.10384   -0.025614      2.6472      1.9212    -0.41822
111          0.31507    0.042939     0.33249    0.075642    0.089218      1.0125     0.20095
112           16.729     0.30984     0.59671    0.099595      5.9595      2.0445     0.27436
113           30.616     0.25007     0.30636    0.060748      8.3767      1.5763     0.35427
114           152.93   -0.044968     0.22349    0.093674      17.996      2.6041     0.37848
115           91.028     0.32868   -0.042003     0.07372      7.9222      5.1863    -0.30601
116           29.304     0.12663     0.56186     0.26457      6.8201      2.0024      0.1267
117           141.62      0.3104    0.023281     0.18957       16.92      2.7425     0.16865
118           94.096    0.091212     0.11259     0.15789      16.019      -7.075    -0.52247
119           86.831    0.067811      0.2302     0.20108      15.615       3.328    -0.20959
120           82.505   -0.066923       0.433     0.20303      11.403      3.6754     0.13725
121           208.94    0.095876   -0.029539     0.17156      24.678      7.2903     -4.7686
122           45.949    -0.13086   -0.042819    0.033663      4.1394      3.6895    -0.41272
123           124.67     0.10479     0.06871      0.1801        12.3      6.0517     -1.4301
124            26.57   -0.079197    -0.05117    -0.04041      1.2322      2.1547     0.59814
125           -11.56     0.49255      1.0033    0.067965      -1.496     0.93239     0.24739
127           7.0568    -0.29292     0.04929   -0.031583      1.1461      1.2278    -0.08256
128           1.9873     0.59819     0.14634     0.12818      0.4439      1.0211     0.18373
129          -9.0294     0.46423     0.15526   -0.078679    -0.37611     0.92073     0.46617
130           381.96    0.049525     0.16919      1.0826      68.595     -31.892     -1.2881
131           23.953     0.16378   -0.013385     0.09117      8.0635       3.084    -0.54238
132           420.29     0.40522     0.22955     0.56204      76.916     -114.21     -11.709
133           34.366     0.32736      0.4379     0.16736      4.4318      1.5412    -0.51073
134           15.107     0.16356     0.11209    0.036995      4.8896      1.9788     0.12326
135           51.326     0.25735     0.86639      0.2304      18.222      2.4699    -0.61833
136            43.04     0.46868     0.12216     0.23766      16.637      2.9863     -1.2587
137           24.995    -0.60123   -0.058254    0.027008      4.6481        2.99    0.026525
138           70.739     0.15792    0.017745     0.01974      19.644      15.072     -2.7916
139           99.666     0.57652     0.80778     0.35693      14.222      2.5448    -0.81029
140            17.13     0.61692     0.28766     0.45669      4.5445      1.1335     0.64963
141           15.404     0.59959     0.49276     0.21738      2.1866      1.2074    -0.32006
