ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
9            -10.164     0.20871    0.061665     0.23998     -2.1003     0.75755    0.029608
10           -7.2059    -0.64957    0.053033   -0.037547     -1.0322     0.71668     0.63723
12           -7.0709     0.60374    0.013244    0.063816     -1.8243     0.81668    0.035853
13           -18.717     0.57289     0.17686     0.25043     -4.1267     0.65874    0.028493
14           -7.6353     0.14738     0.13096   -0.058133      -1.248     0.83602     0.44098
15           -16.566     0.10365     0.12827   -0.072933     -1.4653     0.62786     0.59844
18           -14.472      0.3814     0.29286   -0.077799     -2.8442     0.61554     0.45704
20           -18.574     0.07296     0.16661   0.0087162     -2.9521     0.60763     0.38112
21           -4.2918     0.62501     0.20361   -0.055881    -0.94806     0.85446     0.23077
22           -9.2437     0.70415     0.21039   -0.041624      -1.205     0.79447     0.33668
23           -9.8354     0.35563     0.22015     0.17334     -2.0082     0.73094     0.46902
24             1.951     0.12998     0.13924      0.1728     0.40665      1.0764      0.6751
25           -11.792     0.44174     0.11404     0.18887     -2.3367     0.68652     0.57044
26           -30.534    0.059705     0.15846    0.082666     -4.0575     0.44291     0.13196
30           -23.071   0.0036048     0.12783    0.025763     -4.2952     0.53312     0.68426
31           -15.291     0.75082     0.26959     0.37073     -3.0479     0.73083       0.378
32           -19.256    0.038376     0.19086    0.055136     -3.1453     0.59846     0.33495
33           -22.613      0.5167    0.027338    0.067948     -3.2298     0.58008     0.39834
39           -12.343     0.28778     0.33235    0.031506     -1.3883     0.71364     0.53779
41            -16.81     0.52035     0.14071    0.024963     -2.2646      0.6205     0.46951
42           -26.695    0.069664     0.22628    -0.01563       -4.41     0.53803     0.37551
45           -12.319     0.30257     0.10115   -0.024442     -1.3848     0.36608     0.76857
50           -6.6517      0.1053   -0.043439    -0.10191    -0.62531     0.53872     0.52397
53            -14.49   -0.045024    0.052762     0.14472     -2.2939     0.63742     0.28007
62           -34.576     0.08449  0.00062464    -0.01878     -4.5501     0.38853     0.29246
106          -15.015     0.36873     0.34573     0.15034      -2.165     0.65324     0.39494
108          -11.228     0.12175     0.33708     0.12952     -1.9815     0.72395     0.23215
114           7.9237   -0.039984     0.14423     0.55785      1.5025      1.2021     0.37055
116          -4.3724     0.16534     0.27819     0.13217    -0.93248     0.82704    -0.33315
120           -15.66     0.71157     0.26556    0.070015     -2.5081     0.66923     0.17011
123          -20.105       0.578     0.23445     0.22917     -3.4252      0.6286    0.061616
126          -12.114     0.46434    0.024379     0.11561     -2.5671      0.6106     0.14869
130          -15.926     0.08608     0.10618    -0.04494     -1.8893     0.53219     0.87204
136          -15.872    -0.28459     0.11733   -0.028535     -3.8356     0.58857   -0.045666
139          -14.576     0.32285     0.31933    -0.04229     -2.4277     0.63991     0.63355
141         -0.48496     0.51168     0.27227    0.067135   -0.097611     0.98144    0.041245
144          -25.125    -0.33546     0.18534     0.12007     -3.6364     0.56019     0.25788
147          -18.921     0.14965     0.25238    0.018725     -2.6188     0.57937     0.31228
149          -25.326     0.39898     0.38178     0.53019     -3.7004     0.55239     0.49768
150           -5.203      0.4224     0.38533    0.040666     -1.0331     0.81518     0.23128
154          -32.767     0.25001     0.10943   -0.016856     -3.9986      0.5458     0.19349
155          -3.4624    -0.18945   0.0057533   -0.083557    -0.46971     0.86729     0.31284
157          -2.7814    -0.57605      0.1721   -0.029875    -0.43292      0.9253      0.3164
160          -6.4738    -0.44532   -0.033104     0.04713     -0.7928     0.63812    -0.29992
161          -2.3898    -0.21704    0.052703    0.064311    -0.26451     0.87325    -0.90232
162          -16.209    -0.54669     0.20917   -0.022907      -2.301     0.54836     0.65735
164          -13.509     0.27485     0.15939    0.037885     -1.2777     0.67079      0.3172
165          -9.2017     0.21345      0.2097   -0.033179    -0.89386      0.6716     0.71237
172           -5.128    -0.40726     0.11548     0.10512    -0.69933     0.78406     0.10566
175          -7.1961    0.025775   -0.042823  -0.0095862    -0.63391     0.68473     0.98805
176           -10.08     0.46061    0.018018     0.18573     -1.4203     0.63239    -0.59793
179           2.1098    0.056666    0.025767   -0.021864     0.37294      1.1376    0.079322
182          -8.7253     0.33406    -0.10183    -0.10668    -0.86686     0.59669      0.1438
185          -6.7823     0.53081    0.026433    0.019247    -0.56356      0.4485     0.99309
187           -3.994     0.24809   -0.092583  -0.0040683    -0.35349     0.84289     0.27412
188          -11.568    0.043395   -0.030262  -0.0057705     -1.8233     0.41103     0.58173
189           4.9958    -0.32966    0.050501   -0.080579     0.49464      1.6776      1.3741
