ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
5            -14.891     0.11254      2.2754     0.26692     -3.1956     0.74061    0.057486
6            -21.086    -0.20142      1.0386  -0.0070673     -3.4713     0.67271     0.25979
8            -21.258    -0.29287     0.90212    0.056132     -3.1296     0.68124     0.29964
9             -7.226    -0.17044      1.0235     0.16359     -1.4397     0.83459     0.40032
10           -7.7716    0.093751      1.2776     0.31173     -1.7383     0.82719     0.29297
11            -8.867     0.19458      2.4322     0.39901     -1.8137     0.79939     0.19708
26           -16.755     0.45027      2.5642     0.49951     -2.8732     0.68084     0.22158
27           -3.2766     0.46712      2.5974     0.55514    -0.54097     0.91759     0.34874
29           -26.295     0.41428      2.2848     0.31231      -3.682     0.65146     0.41223
38           -32.969    -0.03836      1.8582     0.01311      -3.964     0.58475     0.57965
42           -26.756     0.15943      1.5212     0.11346     -3.1863      0.6603     0.49533
81           -13.318     0.26224     0.84894    0.014372     -1.9982     0.76281     0.46279
83           -8.7837     0.26786      1.8235     0.35568     -1.5065     0.79078   -0.018888
89           -11.507    0.063584     0.63123      0.1351     -2.1188     0.79875    0.011638
92           -13.924    -0.15586      1.8854     0.26596      -2.631     0.72832  -0.0043195
95           -17.932   -0.056727       1.322     0.40983      -3.381     0.68702     0.19153
99           -9.8651     0.32032      1.5959     0.26333        -1.7     0.79493   0.0098284
100          -19.951    -0.10465      1.3611      1.0551     -3.7874     0.67965    -0.16552
101          -14.481    0.025919      2.0244     0.84494     -2.7514     0.75842     0.40735
103          -19.644    0.099933      2.6402     0.91879     -3.0308     0.59381     0.12168
105          -15.727     0.40557      2.5726     0.28331     -3.3852     0.67452     0.26578
107           -2.378       0.409       1.638      1.6145    -0.39007      0.9429    -0.29731
113          -15.142      0.4236      1.1178     0.40013     -2.3279     0.71032     0.40273
119          -22.367    -0.50434      2.2424     0.23807     -4.1558     0.62469     0.52457
121          -9.1863     0.57022      2.0133      1.0166     -1.3801     0.66234     0.56389
122          -26.232     0.30203      2.0041     0.31482     -4.9767     0.59259     0.23793
124          -22.689    -0.10507     0.57206     0.30274     -3.4345     0.64107     0.44114
125          -37.426     0.14109      2.2216      1.2054     -6.4457     0.53807     0.41155
126          -33.759    0.059699     0.90524     0.27816     -5.3058     0.57155     0.38492
127          -11.666     0.10231      1.6781     0.25269     -2.3089     0.76978     0.43076
129          -12.017     0.49198      2.4164     0.44599     -1.8704      0.7146     0.41148
131          -18.983    -0.26233     0.92309     0.28836     -3.4174     0.61195     0.20796
132           -8.552    0.030818      1.7077     0.56635     -1.4065     0.72504   -0.097533
135          -19.417    -0.36874      1.8571     0.21595     -3.0272     0.63159     0.41056
137          -16.331     0.27248      1.7735   -0.052432      -2.802      0.6186     0.48442
138          -10.972     0.53017     0.52082     0.85905     -1.3754     0.68761   0.0078614
139           -22.44    -0.25297       1.392     0.35358     -3.4302     0.60156     0.57978
140          -20.727    0.088024       2.552     0.40948     -3.2377     0.64627     0.44904
141          -26.078     0.47617      2.3951     0.94633     -4.0581     0.56525     0.31779
146          -1.7416    0.080822      2.0967     0.31302    -0.18643     0.90812     0.72528
147          -23.301    -0.44911      1.0668     0.52002     -4.0869     0.63002     0.69287
148           1.6123    -0.07131      2.0535     0.53005     0.18126      1.1329     0.81766
149           18.435     0.36574     0.72292     0.15637      1.9759     -2.4118     0.13989
151          -1.5776     -0.2941      1.3619      0.6685    -0.20303     0.93569      0.8167
152          -13.094    -0.40883     0.47053      0.4223     -1.9628     0.68557     0.28354
155         -0.50031     0.41837      2.1738     0.34059   -0.074579     0.97278     0.39218
156          -17.704    0.041216      1.2261        0.82     -2.1676     0.69635   -0.033649
158          -8.3033    -0.18088      1.0717     0.16671     -1.1596     0.74545     0.28344
160          -12.272    -0.45767     0.53211     0.91091     -1.6906     0.64966     0.90186
163          -1.7138     0.50222     0.86801     0.49582    -0.23578     0.93357    -0.31666
168          -12.145     0.17057      2.0633      0.9194     -1.9008     0.60557     0.45485
169          -7.9405     0.20953      2.2699     0.96658     -1.2176     0.72789     0.36666
170          -2.0824    -0.26064     0.75807     0.80024    -0.36666      0.7018     0.74654
175           3.8797    -0.57533      1.0625       1.784     0.52489      1.1356      1.1145
176          -3.6342     0.75253      1.7777      1.8883    -0.58862     0.85489    -0.48397
