ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             29.181      0.3321    0.011417    -0.11963      10.664      2.1867    -0.11235
2             56.711     0.53245   -0.037319    -0.13307      13.105       3.438     0.40603
5             42.176     0.50469    0.028989    -0.11326      21.291     -14.736    -0.95591
12            9.1287     0.84157     0.01254    0.070288      3.2678      1.8424     -0.9053
15            178.94      0.8389    0.043018     0.23372      57.272      8.4757     -2.5922
18            -2.048   -0.070453   0.0047703   -0.090357     -0.5221     0.94923     0.77934
19            2.4712     0.11364   -0.081629   -0.084899     0.50563      1.0522     0.13298
20            14.313   -0.043834  -0.0021204  -0.0069495      6.7368       1.822    0.080593
31            4.1861    0.097879   -0.024294    -0.11403     0.49786       1.174     0.42619
32            17.182    -0.59388   -0.051043   -0.077301      9.8531      1.9292    -0.60023
34            7.2514     0.58428   -0.078489     -0.1252      1.6694      1.3715   -0.076672
41            6.6182   -0.068979   -0.025471    -0.10808      2.7219       1.673    -0.43276
45            4.7442    -0.15199   0.0019245     0.20653      2.0911      1.3173     -0.6727
46            9.3871    -0.14014    0.036591   -0.021783      2.5229      2.0251       0.674
48            9.3511     0.43437    0.039436   -0.087032      4.3244      2.5722    -0.79407
49            7.9514    -0.21729   -0.078212   -0.060376      2.2535      2.4544     0.11434
50           -3.1207     -0.5553    0.014892   -0.069811     -2.3779     0.77497     0.17722
56           -1.0595    -0.31829     0.04585     0.02981      -1.477     0.88706    0.024926
57           -38.122    -0.35555   -0.018773    -0.04494     -6.7576     0.32422     0.40891
66           -8.1707    -0.23602  -0.0044173     0.10804     -3.9125     0.69339    -0.13774
73           -50.354    -0.17049    -0.11926    -0.13866     -5.4616     0.35815       0.217
76            11.627     0.01124   -0.096359     -0.1119      2.2575      2.0849     0.46558
78            14.932    0.090413   -0.015166   -0.077325      4.7403      1.5593     0.37587
87           -2.4768     0.30647   -0.021203   -0.084748       -0.63     0.87532     0.52412
91            0.9048    0.095331    0.027313   -0.073741     0.48292      1.0408   -0.079778
93            3.7405     0.25916    0.049009    0.079632      1.4114      1.3934    -0.55465
98            13.144     0.60268   -0.038166   -0.089049      2.9983      6.9261     0.13264
102          -8.4157    -0.48845    -0.07677   -0.065696     -1.0612     0.58847     0.88181
105           4.7273     0.40189   -0.069366   -0.046448      2.8111      1.7202    -0.76052
106           1.3902    -0.10614   -0.077564     0.27329     0.39256      1.1215     -1.5586
119           -8.271     0.23271    0.049449    0.037908     -3.3824      0.3807     0.80358
121           5.4089     0.05726   -0.022662    0.020536      1.4677      1.4993     0.26823
123           5.1935     0.26622   -0.013038   -0.074897      2.3203      1.3608     0.52604
125           10.034     0.10007    -0.10277    -0.12759      2.7132     -7.3122     0.50846
126          -4.6449   -0.020771   -0.053172   -0.070759     -1.3129     0.57548      1.1341
128          -3.0485    -0.45851     0.02029    0.020166     -2.5675     0.75832     0.77207
131          -2.0625    0.013659    0.016197   -0.046082    -0.90377     0.80298    -0.11626
132          -8.2802  -0.0074012   -0.054047    -0.11497     -3.0769     0.45663       0.227
133          -4.0972     0.62776    0.041583   -0.093915     -1.4881      0.8019    0.081688
138          -4.9353     0.12334    0.031575  -0.0065372     -1.9298     0.67165     0.59395
140          -8.2993    -0.32732    -0.09948    -0.10557     -2.0807     0.54081     0.46448
142          -6.9033    -0.40741 -0.00058959    -0.06701     -1.4875     0.35952     0.60895
143          -2.8333   -0.025599   -0.094809   -0.010361     -1.2997     0.34159      1.2326
145           -8.497    -0.24195   -0.088424   -0.069076    -0.82724      0.2042      1.1594
148       -0.0024694     0.54476   -0.038303    0.085087   -0.000706     0.99985     -0.3533
