site      roi       npix      medx      medy      neuropil_pix  radius      aspect_ratio   skew        std         mrs         mrs0        compact     solidity  
2         58        261       361       180       747           9.1525      1.0803         0.7270      110.0829    1.5761      5.9716      1.0108      1.0678    
2         59        88        210       176       438           4.6124      1.0015         0.4441      164.0099    0.8126      3.1121      1.0000      1.2321    
2         60        109       458       177       492           6.2885      1.0935         0.3772      81.1732     0.9822      3.7366      1.0066      1.1716    
2         61        51        80        179       384           4.2938      1.0925         0.6758      161.3143    0.7150      2.6625      1.0285      1.1765    
2         62        63        327       182       427           4.6052      1.0577         0.4824      116.8749    0.7640      2.8894      1.0126      1.2421    
2         63        71        296       198       399           4.5585      1.0516         0.3390      131.7843    0.7892      3.0058      1.0055      1.2190    
2         64        192       457       201       547           7.6588      1.0407         0.3598      94.8457     1.3366      5.0985      1.0040      1.1152    
2         65        152       30        201       470           6.5745      1.0262         0.2825      222.5177    1.1658      4.4624      1.0005      1.1371    
2         66        118       311       201       484           5.8961      1.0107         0.3374      99.3567     1.0111      3.8529      1.0050      1.1667    
2         67        292       196       206       692           11.2027     1.2033         0.5569      263.0941    1.6839      6.2377      1.0338      1.0848    
2         68        153       44        213       468           6.4442      1.0201         0.9074      168.0628    1.1741      4.4938      1.0006      1.1440    
2         69        91        430       219       489           5.6424      1.1115         -0.1258     228.0215    0.9381      3.5452      1.0134      1.1410    
2         70        20        284       218       807           2.6716      1.1521         0.5923      216.4232    0.4213      1.5648      1.0311      1.6190    
2         71        17        448       220       743           2.3446      1.0641         0.4066      299.5140    0.3977      1.5228      1.0001      1.5238    
2         72        171       157       227       596           8.0524      1.1457         3.7619      213.4257    1.2576      4.7468      1.0146      1.1042    
2         73        134       324       232       510           6.8157      1.0482         0.3027      81.1066     1.1208      4.2724      1.0046      1.1366    
2         74        99        406       235       477           6.1597      1.0758         0.3682      113.8726    0.9757      3.6970      1.0107      1.1412    
2         75        53        182       234       751           4.4534      1.1346         0.4158      183.0996    0.7037      2.6625      1.0122      1.2500    
2         76        56        199       235       411           4.7219      1.1677         0.4116      182.2887    0.7167      2.6911      1.0199      1.2439    
2         77        242       108       241       583           9.0386      1.1793         0.9248      161.9767    1.4327      5.3758      1.0207      1.1271    
2         78        184       177       243       510           7.6818      1.0886         2.1977      354.8555    1.2935      4.9189      1.0071      1.1140    
2         79        141       283       243       465           6.7223      1.0860         1.0680      122.9504    1.1243      4.2888      1.0039      1.1556    
2         80        338       128       259       772           9.5113      1.0421         -0.6682     381.1016    1.6958      6.4913      1.0005      1.0778    
2         81        125       58        256       547           7.0309      1.0961         0.4114      70.2163     1.0936      4.1367      1.0124      1.1204    
2         82        267       236       259       642           8.5476      1.0584         0.2168      106.2144    1.5174      5.7886      1.0039      1.1101    
