site           roi      hw_raw     hw_norm   orth_norm
3.0           10.0       88.49       53.05     0.27985
3.0           11.0       91.45       71.79     0.26463
3.0           12.0       70.46       54.15     0.31437
3.0           13.0       68.78       61.82     0.12901
3.0           14.0      109.17        78.1     0.31193
3.0           15.0       102.6       53.12     0.43721
3.0           16.0      103.67       58.96     0.41114
3.0           17.0      109.46       72.19     0.34449
3.0           18.0      117.57       57.04     0.49015
3.0           19.0        null        null        null
3.0           20.0       128.2       41.45     0.53685
3.0           21.0        null        null        null
3.0           22.0       67.36       61.94    0.098404
3.0           23.0        null        null        null
3.0           24.0        null        null        null
3.0           25.0        null        null        null
3.0           26.0        null        null        null
3.0           27.0        null        null        null
3.0           28.0       72.62       60.39     0.14846
3.0           29.0        null        null        null
3.0           30.0        46.6       46.79  -0.0062781
3.0           31.0        null        null        null
3.0           32.0        null        null        null
3.0           33.0        null        null        null
3.0           34.0      112.41       45.32     0.46409
3.0           35.0        87.4       69.59     0.23883
3.0           36.0        57.9       57.31   0.0083747
3.0           37.0      126.82       87.73      0.3362
3.0           38.0      112.64       76.88     0.33047
3.0           39.0      100.65       69.39      0.1918
3.0           40.0       69.93       47.96     0.31801
3.0           41.0       99.77       73.36     0.29741
3.0           42.0       72.23       55.02      0.2506
3.0           43.0       93.48       67.73     0.27502
3.0           44.0       51.07       50.77   0.0043944
3.0           45.0      123.37       65.18     0.44193
3.0           46.0       67.04          62    0.048167
3.0           47.0        null        null        null
3.0           48.0        null        null        null
3.0           49.0        null        null        null
3.0           50.0       72.02       62.98     0.13047
3.0           51.0       47.04       46.66    0.010562
3.0           52.0       83.38       69.99     0.24013
3.0           53.0        85.1       61.51     0.32708
3.0           54.0       60.61       61.64   -0.031926
3.0           55.0      104.96       72.52     0.35233
3.0           56.0       60.81       62.39   -0.071268
3.0           57.0       48.32        49.5   -0.052366
3.0           58.0       67.43       50.65     0.20711
3.0           59.0       81.97       62.99     0.28838
3.0           60.0       51.02       49.87    0.023826
3.0           61.0       90.08       85.41    0.070484
3.0           62.0       44.93        45.8   -0.032092
3.0           63.0       55.09       54.61   0.0094997
3.0           64.0        51.7       49.51     0.05242
3.0           65.0       72.49       65.08   -0.018082
3.0           66.0       65.57       60.49     0.10432
3.0           67.0       51.48       50.38    0.025834
3.0           68.0       45.87       44.26    0.043451
3.0           69.0       45.94       44.37    0.050607
3.0           70.0       49.09       45.64    0.090431
3.0           71.0       74.77       71.07    0.083711
3.0           72.0       46.87        46.8   0.0017431
3.0           73.0        50.9       48.81    0.056586
3.0           74.0       47.12       46.56     0.01802
3.0           75.0       94.44       75.43     0.29796
3.0           76.0       52.58       49.32    0.091748
3.0           77.0       47.24       46.32    0.021868
3.0           78.0       90.93       56.29     0.15683
