site        roi         bsf         bdr         dsi         osi         dcv         ocv         
2           100         7.68        330         0.062535    0.880867    0.926668    0.383873    
2           101         5.12        150         0.123569    0.631303    0.91638     0.540635    
2           102         3.84        30          0.0962457   0.760705    0.908478    0.642278    
2           103         7.68        330         0.0894215   0.88558     0.94061     0.403525    
2           104         7.68        120         0.173276    0.829042    0.896935    0.391428    
2           105         7.68        0           0.038678    0.44893     0.932312    0.811227    
2           106         7.68        330         0.0306421   0.794824    0.984152    0.470725    
2           107         7.68        330         0.0622932   0.52857     0.927045    0.617955    
2           108         3.84        60          0.033119    0.682674    0.959618    0.620835    
2           109         7.68        330         0.143082    0.729611    0.889159    0.501247    
2           110         7.68        150         0.0200541   0.820494    0.941821    0.397891    
2           111         7.68        330         0.120298    0.72383     0.939542    0.612048    
2           112         7.68        120         0.0470555   0.71574     0.952921    0.579289    
2           113         7.68        330         0.201748    0.506476    0.957401    0.639268    
2           114         7.68        300         0.00345561  0.727387    0.881138    0.463559    
2           115         7.68        150         0.0970659   0.836334    0.972514    0.379827    
2           116         3.84        240         0.140833    0.912309    0.925672    0.320701    
2           117         7.68        240         0.242351    0.401474    0.83463     0.78744     
2           118         7.68        330         0.180977    0.592169    0.940491    0.657592    
2           119         3.84        240         0.0845251   0.853726    0.943146    0.393769    
2           120         3.84        240         0.0921563   0.695343    0.970694    0.405188    
2           121         3.84        240         0.0861939   0.852706    0.927412    0.382384    
2           122         7.68        330         0.156351    0.597524    0.917296    0.581679    
2           123         7.68        120         0.124149    0.728468    0.934379    0.577118    
2           124         7.68        330         0.0588752   0.636692    0.956511    0.584643    
2           125         7.68        330         0.200217    0.830686    0.973562    0.623928    
2           126         7.68        120         0.166765    0.686726    0.904971    0.571544    
2           127         7.68        90          0.258107    0.701898    0.91779     0.502284    
2           128         5.12        150         0.107629    0.562716    0.935367    0.656408    
2           129         7.68        0           0.257861    0.416661    0.831867    0.729826    
2           130         5.12        240         0.144571    0.970124    0.919104    0.196229    
2           131         7.68        330         0.025307    0.712617    0.938861    0.531609    
2           132         7.68        240         0.119989    0.591914    0.961274    0.649051    
2           133         5.12        240         0.167658    0.931394    0.897537    0.33446     
2           134         2.56        270         1           0.389726    0.411844    0.602439    
2           135         7.68        330         0.182186    0.225054    0.979811    0.807626    
2           136         3.84        90          0.419165    0.616622    0.814768    0.684628    
2           137         2.56        240         0.651825    -0.102822   0.552033    0.967813    
2           138         5.12        240         0.0493956   0.842711    0.947512    0.380769    
2           139         3.84        120         0.330345    0.380235    0.814811    0.875126    
2           140         7.68        240         0.0773088   0.897878    0.939338    0.398645    
2           141         7.68        240         0.1322      0.732872    0.939733    0.577102    
2           142         7.68        330         0.260577    0.29345     0.925972    0.823987    
2           143         7.68        240         0.024431    0.947303    0.966497    0.273711    
2           144         7.68        210         0.295772    0.565538    0.827778    0.512044    
2           145         7.68        0           0.262893    0.34116     0.975814    0.84507     
2           146         3.84        180         1           1           0.268433    0.641486    
3           0           3.84        60          0.0546989   0.880018    0.958481    0.384979    
3           1           1.92        270         0.145028    0.664428    0.851221    0.657359    
3           2           2.56        300         0.176884    0.889647    0.835447    0.403398    
3           3           3.84        0           0.0751155   0.844655    0.971286    0.514523    
3           4           3.84        300         0.0980228   1           0.851922    0.15794     
3           5           0.64        120         0.445794    0.399223    0.742553    0.823745    
3           6           3.84        60          0.159455    0.950507    0.907607    0.312048    
3           7           5.12        120         0.324684    0.339948    0.93211     0.722944    
3           8           5.12        120         0.0867305   0.468822    0.984201    0.698185    
3           9           2.56        150         0.361878    0.437393    0.881315    0.583341    
3           10          1.28        30          0.691358    0.265809    0.615424    0.800448    
3           11          2.56        330         0.223917    0.471653    0.86186     0.745392    
3           12          2.56        300         0.0809975   0.569891    0.922995    0.73373     
3           13          5.12        210         0.146601    0.795608    0.945749    0.537127    
3           14          2.56        240         0.0657086   0.452021    0.902494    0.767779    
3           15          2.56        300         0.0495012   0.285632    0.989028    0.830498    
3           16          1.92        300         0.163548    0.342035    0.987025    0.83627     
3           17          1.92        330         0.188854    0.337188    0.912959    0.811904    
3           18          2.56        180         0.233502    0.236364    0.945763    0.834162    
3           19          10.24       270         0.0189935   0.335113    0.920294    0.820152    
3           20          2.56        300         0.12221     0.226849    0.957926    0.855702    
3           21          2.56        300         0.349518    -0.0020667  0.876271    0.947829    
3           22          1.92        0           0.244485    0.7547      0.913725    0.468806    
3           23          1.92        300         0.410842    0.0415202   0.893007    0.85405     
3           24          1.92        300         0.280234    0.138003    0.914244    0.792123    
3           25          2.56        300         0.0899037   0.248947    0.971597    0.935676    
3           26          2.56        300         0.205543    0.0685015   0.932679    0.95193     
3           27          2.56        180         0.349561    0.3354      0.900237    0.825719    
3           28          2.56        0           0.360722    0.671242    0.876957    0.659229    
3           29          1.92        240         0.188074    0.163179    0.917156    0.929657    
3           30          5.12        210         0.175959    1           0.908417    0.178445    
3           31          1.92        300         0.634072    0.294873    0.820685    0.852606    
3           32          1.92        300         0.208085    0.277088    0.953037    0.842874    
3           33          0.64        180         0.244627    0.15812     0.791473    0.909514    
3           34          1.92        150         0.189544    0.289471    0.932643    0.827849    
3           35          5.12        150         0.00246754  0.479313    0.933081    0.698742    
3           36          5.12        0           0.0953606   1           0.968781    0.214566    
3           37          7.68        180         0.234762    0.422791    0.891203    0.809684    
3           38          5.12        150         0.17064     0.313407    0.901066    0.796303    
3           39          1.28        0           0.380259    0.0755809   0.894753    0.898308    
3           40          5.12        330         0.0762093   0.801265    0.943884    0.668002    
3           41          1.28        30          0.301998    0.552345    0.864041    0.708235    
3           42          10.24       300         0.275694    0.396498    0.929738    0.572061    
3           43          2.56        150         0.14733     0.453384    0.974248    0.70812     
3           44          3.84        0           0.198932    0.965257    0.844268    0.308781    
3           45          3.84        60          0.0145579   0.410137    0.973274    0.793843    
3           46          5.12        0           0.123272    0.93794     0.973419    0.404323    
3           47          2.56        180         0.374011    0.2786      0.903891    0.942626    
3           48          2.56        180         0.329877    0.120727    0.895789    0.94372     
3           49          1.92        210         0.144217    0.212971    0.948598    0.854631    
3           50          5.12        0           0.103386    0.839431    0.978225    0.425146    
3           51          3.84        0           0.0985189   0.916647    0.955428    0.364786    
3           52          5.12        210         0.184135    0.599087    0.917905    0.725336    
3           53          5.12        150         0.0154604   0.472234    0.980104    0.715503    
3           54          1.92        0           0.383091    1           0.767813    0.24467     
3           55          2.56        270         0.267232    -0.0336938  0.878084    0.955774    
3           56          3.84        150         0.294465    0.739022    0.790457    0.602971    
3           57          5.12        180         0.06482     1           0.906011    0.185165    
3           58          2.56        150         0.165026    0.410077    0.945657    0.767693    
3           59          5.12        330         0.00943745  0.649015    0.948194    0.751666    
3           60          3.84        0           0.018394    0.896409    0.952113    0.439685    
3           61          10.24       0           0.0413032   0.851179    0.980357    0.550359    
