site       ROI        LHI2            LHI3           
3          64         0.01572         0.049291       
3          65         0.10146         0.11727        
3          66         0.45584         0.34382        
3          67         0.068535        0.10963        
3          68         0.046265        0.083298       
3          69         0.025734        0.071011       
3          70         0.028288        0.08179        
3          71         0.40626         0.25548        
3          72         0.030678        0.064849       
3          73         0.079783        0.10546        
3          74         0.036031        0.070393       
3          75         0.13475         0.17427        
3          76         0.29834         0.20553        
3          77         0.055897        0.084366       
3          78         0.49522         0.37691        
3          79         0.062454        0.11628        
3          80         0.16358         0.12457        
3          81         0.46619         0.86467        
3          82         0.07608         0.10563        
3          83         0.1284          0.10993        
3          84         0.13998         0.11504        
3          85         0.11533         0.34491        
3          86         0.10573         0.23751        
3          87         0.090525        0.18206        
3          88         0.087386        0.12568        
3          89         0.094961        0.10123        
3          90         0.11731         0.33496        
3          91         0.10438         0.21403        
3          92         0.068083        0.098435       
3          93         0.21826         0.50991        
3          94         0.21971         0.23263        
3          95         0.11569         0.14295        
3          96         0.14578         0.17289        
3          97         0.06327         0.12282        
3          98         0.18137         0.28195        
3          99         0.053726        0.09856        
3          100        0.15834         0.43606        
3          101        0.12278         0.1183         
3          102        0.39949         0.58037        
3          103        0.16263         0.10865        
3          104        0.36814         0.19167        
3          105        0.37255         0.40667        
3          106        0.056523        0.1676         
3          107        0.21882         0.22297        
3          108        0.47171         0.21095        
3          109        0.11684         0.19007        
3          110        0.18187         0.067012       
3          111        0.14065         0.62718        
3          112        0.48589         0.20803        
3          113        0.33733         0.27577        
3          114        0.33216         0.3027         
3          115        0.096267        0.21705        
3          116        0.68336         0.61514        
3          117        0.69422         0.82999        
3          118        0.74915         0.69308        
3          119        0.30972         0.10236        
3          120        0.58948         0.66609        
3          121        0.063621        0.26533        
3          122        0.69242         0.85314        
3          123        0.60258         0.7209         
3          124        0.20495         0.28233        
3          125        0.077422        0.45081        
3          126        0.53829         0.601          
3          127        0.3181          0.27813        
3          128        0.77417         0.96476        
3          129        0.057286        0.29726        
4          0          0.069392        0.16983        
4          1          0.18819         0.28478        
4          2          0.060612        0.15562        
4          3          0.26056         0.27126        
4          4          0.048144        0.12372        
4          5          0.29505         0.29743        
4          6          0.3632          0.22037        
4          7          0.078715        0.18626        
4          8          0.085142        0.099866       
4          9          0.062771        0.15183        
4          10         0.17049         0.22282        
4          11         0.40735         0.40486        
4          12         0.45785         0.45549        
4          13         0.23033         0.35131        
4          14         0.34714         0.32436        
4          15         0.065189        0.08567        
4          16         0.14693         0.28137        
4          17         0.53115         0.47705        
4          18         0.54831         0.43692        
4          19         0.086053        0.1348         
4          20         0.090561        0.10698        
4          21         0.14498         0.22642        
4          22         0.48652         0.50909        
4          23         0.53044         0.48152        
4          24         0.36356         0.47987        
4          25         0.56774         0.52969        
4          26         0.28037         0.42476        
4          27         0.50583         0.44781        
4          28         0.2366          0.35044        
4          29         0.21443         0.301          
4          30         0.73095         0.62988        
4          31         0.44178         0.42439        
4          32         0.8834          0.83633        
4          33         0.34556         0.34451        
4          34         0.69718         0.67313        
4          35         0.56087         0.47381        
4          36         0.75541         0.62969        
4          37         0.91991         0.64945        
4          38         0.34108         0.26164        
4          39         0.75946         0.53222        
4          40         0.36083         0.24022        
4          41         0.67511         0.55144        
4          42         0.7929          0.53433        
4          43         0.74172         0.50659        
4          44         0.60038         0.60729        
4          45         0.78649         0.5727         
4          46         0.90935         0.71068        
4          47         0.75357         0.47044        
4          48         0.75612         0.46304        
4          49         0.55925         0.52632        
4          50         0.33228         0.36656        
4          51         0.095834        0.27423        
4          52         0.15163         0.15222        
4          53         0.17418         0.17551        
4          54         0.61615         0.43102        
4          55         0.22281         0.25907        
4          56         0.63839         0.39258        
4          57         0.24145         0.28951        
4          58         0.11757         0.12761        
4          59         0.6021          0.43698        
4          60         0.59406         0.43135        
4          61         0.3972          0.35746        
4          62         0.3237          0.33434        
4          63         0.14649         0.17923        
4          64         0.075847        0.13909        
4          65         0.11939         0.13894        
4          66         0.60087         0.35351        
4          67         0.046135        0.044843       
4          68         0.6             0.40953        
4          69         0.073657        0.075213       
4          70         0.060171        0.059693       
4          71         0.11753         0.11757        
4          72         0.070183        0.071204       
4          73         0.085622        0.090854       
4          74         0.59512         0.40702        
4          75         0.16055         0.13769        
4          76         0.041192        0.039057       
4          77         0.58759         0.38804        
4          78         0.30906         0.33767        
4          79         0.5577          0.37224        
4          80         0.31164         0.1394         
4          81         0.37851         0.27731        
4          82         0.068078        0.081551       
4          83         0.40577         0.29473        
4          84         0.36488         0.35473        
4          85         0.062007        0.072107       
4          86         0.092107        0.096863       
4          87         0.22852         0.1409         
4          88         0.099058        0.12412        
4          89         0.10905         0.04562        
4          90         0.11539         0.16065        
4          91         0.2945          0.30539        
4          92         0.15263         0.18451        
4          93         0.34373         0.24983        
4          94         0.097734        0.079161       
4          95         0.13103         0.17683        
4          96         0.13586         0.18856        
4          97         0.12933         0.15659        
4          98         0.1241          0.10068        
4          99         0.11799         0.18874        
4          100        0.085997        0.092951       
4          101        0.22075         0.18812        
4          102        0.076058        0.11256        
4          103        0.13274         0.19679        
4          104        0.20969         0.27819        
4          105        0.22025         0.31338        
4          106        0.14609         0.15618        
4          107        0.21991         0.18174        
4          108        0.20221         0.19764        
4          109        0.1588          0.20747        
4          110        0.018527        0.086366       
4          111        0.1354          0.15577        
4          112        0.12126         0.17451        
4          113        0.12974         0.12847        
4          114        0.11918         0.14879        
4          115        0.28554         0.34607        
4          116        0.12526         0.18719        
4          117        0.09585         0.16034        
4          118        0.2196          0.25058        
4          119        0.18827         0.20467        
4          120        0.050157        0.12033        
4          121        0.017165        0.11652        
4          122        0.011094        0.11053        
4          123        0.40435         0.46604        
4          124        0.022645        0.1158         
4          125        0.034423        0.09737        
4          126        0.024053        0.15017        
4          127        0.31669         0.46796        
4          128        0.044921        0.25853        
4          129        0.031084        0.13182        
4          130        0.14076         0.17091        
4          131        0.08343         0.25145        
4          132        0.035755        0.34647        
4          133        0.39781         0.51855        
4          134        0.054789        0.17654        
4          135        0.033548        0.098286       
4          136        0.036404        0.39052        
4          137        0.080166        0.13575        
4          138        0.090237        0.13512        
4          139        0.068893        0.13165        
4          140        0.037429        0.13259        
4          141        0.043943        0.06452        
4          142        0.038866        0.059794       
4          143        0.12252         0.48648        
4          144        0.026678        0.097397       
4          145        0.52111         0.66799        
4          146        0.032377        0.061709       
4          147        0.070389        0.09563        
4          148        0.027906        0.072164       
4          149        0.052646        0.062904       
4          150        0.031026        0.061152       
4          151        0.23309         0.21593        
4          152        0.085922        0.58916        
4          153        0.039616        0.048701       
4          154        0.064068        0.24716        
4          155        0.049063        0.047072       
4          156        0.11979         0.13813        
4          157        0.059457        0.068702       
4          158        0.016125        0.12354        
4          159        0.031493        0.062043       
5          0          0.14576         0.16865        
5          1          0.26198         0.21907        
5          2          0.1391          0.15299        
5          3          0.27933         0.27293        
5          4          0.20831         0.23252        
5          5          0.34066         0.28205        
5          6          0.15434         0.19019        
5          7          0.63892         0.3722         
5          8          0.28663         0.239          
5          9          0.37985         0.3391         
5          10         0.3254          0.34379        
5          11         0.39472         0.31437        
5          12         0.27078         0.30131        
5          13         0.33644         0.40166        
5          14         0.17742         0.12987        
5          15         0.69229         0.44818        
5          16         0.5955          0.5279         
5          17         0.12279         0.12035        
5          18         0.43884         0.48461        
5          19         0.54925         0.44622        
5          20         0.48354         0.50257        
5          21         0.38563         0.33536        
5          22         0.63216         0.43145        
5          23         0.6997          0.56558        
5          24         0.72972         0.74641        
5          25         0.56537         0.42177        
5          26         0.66193         0.53808        
5          27         0.53702         0.65474        
5          28         0.2374          0.28028        
5          29         0.4504          0.48081        
5          30         0.13331         0.21333        
5          31         0.22894         0.26232        
5          32         0.39749         0.42343        
5          33         0.45014         0.43048        
5          34         0.17923         0.21684        
5          35         0.58215         0.51061        
5          36         0.36683         0.53268        
5          37         0.22244         0.31073        
5          38         0.091068        0.14789        
5          39         0.50475         0.46029        
5          40         0.60608         0.51672        
5          41         0.64181         0.6028         
5          42         0.6002          0.49955        
5          43         0.54015         0.41827        
5          44         0.39588         0.41663        
5          45         0.51799         0.51361        
5          46         0.31994         0.47459        
5          47         0.53664         0.42771        
5          48         0.40628         0.34124        
5          49         0.37457         0.34493        
5          50         0.25531         0.29223        
5          51         0.40262         0.38882        
5          52         0.29101         0.38984        
5          53         0.40685         0.38092        
