ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
82            55.023     0.27968     0.37751     0.27181      9.2922      1.9284     -1.0806
83            3.0439     0.60185      1.2561     0.26285        1.11      1.0754    -0.13404
84            8.4176     -0.1373      2.0203     0.20182      2.5672      1.2501     0.51778
85            1.3931    0.094767       1.924     0.16498     0.47377      1.0261    0.067796
86           -2.3695      0.6733      1.9201     0.76204    -0.75507     0.95605     0.21119
87            11.492  -0.0028536      0.5345     0.23151      3.3462      1.4931     -0.1871
88           -5.5217     0.53294      1.8687      0.4689     -1.7927      0.9119     0.10389
89            9.3033     0.21137     0.13699     0.15788       1.557      1.2206    0.064743
90           -5.2213     0.42829      2.0403     0.56917     -1.3476      0.9117  -0.0032137
91            22.121     0.08226     0.16146      1.0965      3.2435      1.5113     0.52968
92            12.025     0.13484     0.13489     0.34523      4.4534      1.5326     0.18371
93            22.924     0.48071     0.48947     0.48367      7.4243      2.0748    -0.44272
94           -2.3967     0.10494      1.1034     0.14193    -0.93565     0.92485     0.17671
95            6.5464     0.06983     0.34697   -0.058479     0.91261      1.2223     0.54726
96            11.014    0.063134   -0.028734     0.17645      1.1338      1.4427     0.76761
97            6.0426    -0.17655     0.39393     0.51008      1.6071       1.201   -0.029043
98            15.305    0.072042      2.3942     0.17333      4.4017      1.2834     0.11056
99            19.386    -0.22617   -0.085654     0.40035      4.9922      1.5511    -0.55202
100           8.0785     0.11284      2.0455      0.2214      2.3797      1.1569     0.29263
101           4.2908    0.018952     0.14399     0.27716      2.0079      1.1558   -0.037893
102           46.133     0.05896     0.15046     0.11467      8.0718      2.0835    -0.40031
103           6.8387    0.079436      1.2939     0.26704      2.0693      1.2064     0.51122
104           143.68     0.42789   -0.036394     0.18803      10.634      4.7312    -0.80386
105           3.3666    -0.20665    0.053621    0.062596      1.0049      1.0876     -1.1018
106           39.744   -0.017475      1.7504       1.272      14.734      2.5853     0.66096
107           3.7832    0.048185    0.010675   0.0012699      1.0405       1.104    -0.42825
108           5.0102    -0.10206     0.47629     0.21276      1.0058      1.0846     0.10276
109           15.264    -0.34588     0.31837     0.38879      2.9003      1.7058    -0.22459
110           13.603     0.14024      0.2667      0.4287      3.5636      1.3126    -0.23869
111           96.954     0.71085      0.4771      1.3716      24.283       13.45     -5.3666
112           4.5314     0.25314     0.26376     0.18854     0.64316      1.0594    -0.52537
