ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0             0.7703     0.89284      1.5284      0.4885     0.19272       1.016     0.12085
1              9.553     0.56072     0.70547   -0.056545      2.1758       1.247    -0.11605
2             25.847     0.24752     0.25605  -0.0097164       4.339      1.5845    -0.73799
3             5.0659     0.76102     0.81028     0.33783      1.3486      1.0868     0.14215
4              20.83     0.57558     0.51212      1.1985      4.7053      1.7074     0.43914
5             4.1598     0.31277     0.71624     0.11538      1.0911      1.1289     0.15038
6             6.9438     0.33094     0.62596     0.34016      1.6991      1.2378     0.13027
7             15.502     0.36188     0.18209     0.36758      2.9379        1.48     0.06569
8             45.127     0.72011      1.0714     0.75848      8.2279      2.0616      -0.188
9             15.048     0.73374     0.43093     0.10089      1.7099      1.3446    -0.13441
10           -2.2381     0.65372     0.38287     0.10136    -0.53485     0.94677   0.0046499
11            79.363     0.44445     0.78481      8.4277      22.346      3.5281     0.59171
12            9.8171     0.27076     0.17366     0.17733      2.4066      1.3314     0.22624
13            7.7424   -0.045452     0.31208     0.16489      2.0603      1.1993    -0.27012
14           -16.218     0.74906     0.57228    0.096757     -2.3644     0.75515     0.19107
15            21.618     0.35299     0.40353     0.27715      3.2486      1.6446    -0.59992
16             6.146     0.48196     0.36074    0.061058      1.4108      1.1377     0.14337
17           -2.4584      0.1983     0.17111      0.3447    -0.50704     0.95369     0.25485
18             8.963     0.25071     0.49202     0.22032      2.7686      1.2152    0.036055
19            52.565     0.70418     0.33006      1.3514      5.9698      1.7089   -0.013106
20            1.0452      0.5222     0.19728     0.27668     0.31173      1.0322    -0.16556
21            14.611     0.10731    0.048522     0.16902      1.4269       1.324    -0.15729
22            18.106     0.52798     0.74528     0.96533      2.7191      1.2504    0.062424
23            9.4902    0.068496   -0.023594     0.17913      1.7434      1.2486     -1.0639
24            -7.392     -0.2024   -0.037743   -0.081964     -1.5573     0.77742     0.19728
25           -5.1411     0.24314    0.086771  -0.0028423     -1.0818     0.89453    0.054185
26            7.0798     0.43399     0.99257      1.5544      1.4075      1.1151     0.18344
27            18.933    -0.17233     0.13666     0.58108      2.8178      1.5028    -0.29426
28           -0.9114     0.39649     0.35387     0.30538    -0.25556     0.97411     0.17076
29            7.7481     0.48641    0.072297     0.44926       2.081      1.2843    -0.83995
30            6.8231   -0.062739    0.044888     0.37896      1.2719       1.186    -0.15261
31            7.7649     0.46854    0.063531     0.23951       1.777      1.1708     -0.6575
32           -4.1926     0.38975     0.08951   -0.025438     -1.1856     0.90135    -0.73191
33           -8.4203      0.5761     0.98651     0.23973     -1.4976     0.88144    0.031718
34           0.21098    -0.20715     0.08927     0.15848    0.039081      1.0046     0.32828
35            69.024     0.26409     0.28233     0.16073       9.324      2.9045     0.38994
36            15.052     0.64193     0.18562     0.50007      4.9345      1.3154    -0.45878
37          0.012685     0.37066   -0.026063    0.062312    0.001554      1.0003     -0.6004
38           -1.7028    0.091535     0.36046    -0.11417    -0.31713     0.95937      0.1771
39           -1.3126     0.44387     0.32058     0.10679    -0.21707     0.97956     0.13818
40            4.4572     0.52608     0.18292       0.146      1.3848       1.131     -0.3465
41          -0.31462     0.34953    0.096499     0.45388   -0.050278     0.99348     0.28131
42           -5.5584   -0.074508    0.048165     0.11451     -1.0615     0.84362     0.50482
43            7.0278    -0.10142    0.078163     0.05143      1.2835      1.2382    -0.33612
44            7.7652     0.33678    0.061563     0.16151      1.3108      1.1872    -0.31402
45            3.2984   -0.053728   0.0058715    0.040685     0.61421      1.0817    -0.26794
46           -8.9341     0.37243     0.24435    0.037312     -1.4642     0.86748   -0.010853
47           -9.2583     0.66006     0.43936     0.17415     -1.6465     0.85916     0.15882
48           0.86954     0.10171     0.23668     0.04054     0.25419      1.0266     0.07509
49           -16.316     0.28574     0.57648    0.076639     -2.5257     0.80687     0.55962
50            -8.908    0.022342    0.010449   -0.068558     -1.3042     0.83204    0.074441
51           -0.8727     0.34092    0.099457     0.21577    -0.21263     0.97356    -0.50166
52            5.3441     0.20751     0.21409    0.015158      1.1266       1.169    -0.11931
53            4.1303     0.53137   -0.054027    0.051323      1.0671      1.1283    0.034421
