ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
7           -0.88409    -0.69311    -0.11076   -0.096164    -0.14701     0.97904   -0.049289
8            -19.009     0.53875   -0.093632    -0.08368     -3.3679     0.76205    -0.23468
17           -14.266     0.52909    -0.10248   -0.097566     -3.3127     0.74092    -0.16286
19            14.258     0.61501   -0.099274    0.074116      2.0338      1.9143     -1.0862
20           -3.8841     0.28746    -0.11767    0.043538      -1.037     0.90161    -0.51868
21           0.25555     0.49666    -0.12958    -0.11407    0.065372      1.0065   -0.047236
22           -19.882    -0.34781    -0.14321    -0.14436      -3.121     0.64507     0.67237
24           -6.9837     0.73184   -0.090742   -0.096141     -1.7089       0.793     0.17349
31           -8.0989   -0.048799     -0.1175    -0.11024      -1.616     0.82515     0.44668
34            4.3586    -0.19982    -0.10853   -0.094253     0.66436      1.1322    -0.23406
40            3.6607    -0.40606    -0.13105    -0.12343     0.55218      1.0794    -0.27161
47            -8.734   -0.052901    -0.12642    -0.11031     -1.5289     0.84525     0.39763
60            14.011    -0.20412    -0.11202      -0.123      1.0852      1.2645     0.16434
117           13.913     0.43434    -0.10913     0.09186      2.0447      1.5238     -1.5223
135           57.702   -0.061451    -0.11345    -0.12409      3.9737      6.0415    -0.23418
137          -10.139   -0.034768    -0.10387   -0.074521      -2.239     0.81325     0.33174
155          -5.0888    -0.26618   -0.096489   -0.012757    -0.58694     0.82694     0.70899
166           3.0455     -0.1539   -0.097365   -0.046373     0.45354      1.1008    -0.23314
167          -10.938    -0.44793      -0.133    -0.11905     -2.0032     0.78029   -0.076211
171           0.7759   -0.010695    -0.10721   -0.030259     0.13685      1.0221    0.052532
