ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
16           -4.0872    -0.66709   -0.063835      0.2625     -1.6355     0.87773     0.63587
20            38.272     0.21134   -0.065918   -0.074525      5.7355      3.3772    -0.45043
24           -2.5635  -0.0061962   -0.073073   0.0079027    -0.86755      0.8882    -0.17235
32            -1.522     0.18966     -0.0669   -0.026437     -1.8082     0.84783    -0.18986
67            12.642    -0.20759    -0.11794    -0.10937      1.8662      2.5968     0.70636
79            4.8711     0.10669    -0.09983    -0.01771      1.6417      1.2579    -0.96916
91            12.672     0.10085   -0.087149   -0.038376     0.92436      1.6973    -0.29517
92            1.1689   -0.063368   -0.068113    0.081324      0.9463      1.1717    -0.60682
93           0.60933     0.29714   -0.088186   -0.033956     0.30056      1.0768    -0.64367
104          -1.6642     0.58124   -0.075699    0.020416    -0.99111     0.88144     0.13505
108          0.38504    -0.42923   -0.079786   -0.081693     0.76878      1.6284      1.2083
109           6.8144     0.13048   -0.082215   -0.061397      3.6805       3.752     0.71345
114           6.0413    0.070423   -0.082263    0.011046      11.165      3.0301     -1.8953
129          -1.5104    -0.43906   -0.093364   -0.072115     -2.9939     0.60928     0.63489
