ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
25           -14.273     0.54313   -0.028755   -0.073218     -1.1567     -1.1261      0.9888
39           -4.9459    -0.13569   -0.050227   -0.086725    -0.34849      0.8622     0.30868
53           -11.715    -0.13998   -0.022859    -0.01587     -1.3052     0.71813     0.51572
55           -10.162   -0.009522   -0.072961     0.18584    -0.95668     0.77612     0.56957
57            1.1269     0.37117   -0.032581   -0.052139    0.092837      1.0369     0.67153
136          -35.145   -0.081775   -0.046648    -0.13905     -2.0362    0.067524     0.91202
140           2.3306   -0.059453   -0.061833    0.047639     0.33505       1.344      1.3006
144          -13.605    -0.44461   -0.053712    0.068519     -2.3756     0.59338     0.57271
163          -12.042    -0.29321   -0.054162 -0.00025405     -1.7198     0.62688     0.52898
166          -12.806     0.71049   -0.060802   -0.049758     -1.3706     0.59902     0.78086
169          -27.806    -0.35605   -0.027671   -0.081824     -3.7648     0.50616     0.75977
180          -8.2621   -0.037777   -0.072258   -0.060318    -0.68641     0.60546     0.43888
184          -4.6117    -0.01945   -0.033614     -0.1009    -0.41059     0.81789     0.19494
187          -10.208    -0.38975   -0.051427   -0.032909     -1.2399     0.57276     0.82186
188          -3.6925     0.37071   -0.061083   0.0077284    -0.53517      0.5544     0.85481
192         -0.54668    -0.35647   -0.051574   -0.077631   -0.065298       0.971     0.37075
194        -0.033869     0.56825   -0.025124    -0.06837  -0.0041027       0.974     0.25557
199           6.1732    -0.24875   -0.099175   -0.019234     0.78498     -12.001   -0.061857
202           4.8024     0.41813    -0.14023    -0.12361     0.35855      1.6393     -0.6858
203           -17.77   -0.040657   -0.051119    0.047767     -2.1082     0.33446      0.6057
204          -8.3112     0.26599   -0.099552    0.074753     -1.0183     0.62765   0.0076918
206           13.536     0.18164    -0.11075    -0.10969      1.6865     -1.1299    -0.83413
