ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
9            -7.8648     0.16647   -0.004506   -0.063128     -1.4386     0.84266  -0.0084398
19          -0.26641    -0.25287   -0.037189    -0.05488   -0.052594     0.98892     0.21054
21           -16.517     0.47114    0.011351   -0.031997     -3.5734     0.61992     0.44048
30             3.591    -0.19487   0.0059733  0.00037379     0.72661      1.0932     0.13164
35           -1.4806      0.4347    0.010031   -0.067848    -0.23149     0.93885   -0.092777
39            4.0812    -0.26904   -0.061476    -0.08983     0.49178      1.1282     0.52317
62          -0.74993    -0.25674   -0.025546   -0.055058    -0.13779     0.96834     0.14209
85           -21.436   -0.095978   -0.021439   -0.031044     -2.1626     0.69129     0.55345
120          -23.073    0.073952   -0.030489    0.017137     -1.5364     0.71929     0.33914
142           115.31    -0.13918  -0.0082491     0.49403      22.059     -14.247      0.1211
146          -44.428    0.018457   -0.056253   -0.096402     -3.9996     0.61663     0.51239
156           15.631     0.40082   -0.045104      0.0232      3.3535      1.8153    -0.38296
161           5.5219     0.17871   0.0076185     0.02541     0.96776      1.2408     -1.3622
163           4.8405    -0.23845    -0.07289   -0.074292     0.69908      1.1481     0.15143
167           12.647    -0.27638   -0.062024   -0.037336      2.3834     -3.7338     0.58913
168          -15.642    -0.10457   0.0021861   -0.024297     -1.8843     0.66726     0.16155
180           5.3561    -0.18934   0.0049341   -0.011989      1.0541      1.5158     0.09292
187           3.1819    -0.30047   -0.053572     0.05781     0.49623      1.3677     0.95741
192          -8.2325    -0.17362   -0.059991   -0.052419     -1.4188     0.66539     0.67259
195            -10.3    -0.42384   -0.078976   -0.018094    -0.51666     0.54659      1.0481
198         -0.44158    -0.23165   -0.090813   -0.059647   -0.094213     0.91516     0.50002
