ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
5            -7.0523     0.41246  -0.0076681   -0.096802     -1.1863     0.78255     0.23581
11           -2.0895    0.069058   -0.087375   -0.021432    -0.45945     0.90646     0.31875
30           -2.0694    0.074154      0.0179   -0.018027    -0.50157     0.93621   -0.052843
38          0.028961     0.28277   -0.064576   -0.055137   0.0032635      0.9818      1.4005
47           -3.2846    -0.28331   -0.014679   -0.060341    -0.25196     0.91827     0.57506
49            72.608     0.23222   -0.078774   -0.084032      4.9972     0.12608      1.5391
82            17.877     0.30423   -0.096757    0.054438      1.7705     0.45666      1.9456
126          -5.6114     0.29083  -0.0091203     0.12633    -0.43448     0.92337     0.76357
157          -12.889     0.14313    0.022545    -0.11144     -1.5142     0.83797     0.30482
162           11.114     0.24869   -0.015052    0.011289     0.96029      0.6234      1.9457
163          -68.288     0.10215   -0.040608    -0.09881     -9.1096       0.425     0.80321
167          -14.395   -0.059032   -0.043527    0.057754      -1.197     0.77183     0.14181
180         -0.23025     0.10027    -0.07284     0.13361   -0.039589     0.99208    -0.51611
188          -1.5466     0.16736   -0.083613   -0.044645    -0.25968     0.92803    -0.47602
189           -13.72     0.65856   -0.048275     0.15359     -1.5867     0.66753     0.34742
196          0.25834    0.057767   0.0066288    -0.05619    0.063394      1.0263   -0.087981
198           23.531    -0.13398   -0.094247    -0.10106      1.6512    -0.65384    -0.37548
200          -1.0125    -0.31424  -0.0026209   0.0083787    -0.14933     0.95624    0.068275
202          -73.377     0.23731   -0.021416  -0.0099186     -8.7588   -0.011396      1.3854
203           5.7047    -0.70317    0.019886    0.023279     0.81618       2.324     0.81561
206          -1.3895     0.27834   -0.018538     0.10286    -0.38388     0.52398     0.70521
