ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
8              -11.3    -0.26922   -0.051462    -0.08193     -5.4618     0.77287     0.33792
9             4.5943   -0.093227    -0.10786    -0.10591       1.911      1.1153   -0.094224
21           -4.8374     0.18013   -0.081994      0.2067     -1.8118     0.82614    -0.46669
33            23.682    -0.01478   -0.044726    0.074188      14.199      2.1623     -1.1635
48           0.78363     0.26134   -0.078434    0.076451     0.41478       1.045    -0.86424
64           -16.187     0.24154    -0.13402    -0.12917     -1.8936     0.62973       1.589
82           -10.505   -0.036478   -0.077523     0.17881     -2.5611     0.71354     0.31827
90           -2.8188     0.34531   -0.076982    0.032317    -0.42309     0.92218     0.10342
102           22.807     0.47524    -0.10206    0.081657      6.5718      23.641     -1.9408
111           3.0061    0.018357   -0.088498    -0.11006     0.18572     0.69259     0.60145
126           19.031     0.13288   -0.096357    0.059901       4.353      4.2659     -1.1239
127           6.3585    -0.26039   -0.052254   -0.045536      3.7986      1.9434     -0.2845
135           3.3779     0.17627   -0.056037   -0.086247     0.86139      1.3221     0.19154
140           7.0977     0.43722   -0.070258     0.03585      2.1828      2.0576     -1.8844
143           27.817     0.48009   -0.043488    -0.03503      10.411      3.3715     -2.1032
149           14.296     0.24884   -0.075715     0.13509      10.484      3.3843    -0.28655
